Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
" Hernandez, D",ARI,P,69,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,-.--,3,1
" Rodriguez, A",HOU,P,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,-.--,2,1
" Miller, S",STL,P,6,3,0,2,1,0,0,0,0,0,0,0,0.667,0.667,1,1.667,0,0,0,0,3,1,0,1,0,*.**,19,3
" Carpenter, D",BOS,P,28,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,9,2
" Davis, W",TB,P,5,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,7,2
" Dickson, B",STL,P,4,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,5,2
" Lewis, C",TEX,P,1,4,0,2,0,0,0,2,0,2,0,0,0.5,0.5,0.5,1,0,0,0,0,2,0,0,0,0,-.--,15,4
" Lowe, D",NYY,P,3,4,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,2,0,0,1,1,1,11,4
" Mazzaro, V",KC,P,2,4,0,2,0,0,0,1,0,2,0,0,0.5,0.5,0.5,1,0,0,1,0,2,0,0,1,0,*.**,20,5
" Mesa, M",NYY,CF,3,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,5,2
" Morales, F",BOS,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,10,2
" Noesi, H",SEA,P,2,4,0,2,0,0,0,0,0,2,0,0,0.5,0.5,0.5,1,0,0,0,0,2,0,0,0,0,-.--,17,4
" Ogando, A",TEX,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,6,2
