Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
" Duke, Z",CIN,P,25,2,0,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,0,0,0,-.--,7,2
" Carson, M",CLE,RF,20,11,5,7,0,0,1,3,1,1,3,0,0.636,0.692,0.909,1.601,0,1,0,0,10,1,0,2,1,2,40,13
" Berry, Q",BOS,LF,13,8,5,5,0,0,1,4,1,2,3,0,0.625,0.667,1,1.667,0,0,0,0,8,1,0,0,1,0,21,9
" Axelrod, D",CWS,P,1,2,1,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,8,2
" Chen, B",KC,P,2,2,1,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,7,2
" Masterson, J",CLE,P,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,1,0,3,2
" Parra, M",CIN,P,52,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,1,0,10,2
" Beckham, T",TB,2B,5,7,1,3,0,0,0,1,0,0,0,0,0.429,0.375,0.429,0.804,0,0,0,1,3,0,0,4,1,4,30,8
" Norris, B",BAL,P,5,7,0,3,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.857,0,0,0,0,3,0,0,1,3,0.33,20,7
" Fister, D",DET,P,4,5,0,2,0,0,0,1,0,1,0,0,0.4,0.4,0.4,0.8,0,0,2,0,2,0,0,3,1,3,26,7
" Flynn, B",MIA,P,4,5,0,2,0,0,0,0,0,2,0,0,0.4,0.4,0.4,0.8,0,0,1,0,2,0,0,1,1,1,22,6
" Mendoza, L",KC,P,3,5,0,2,0,0,0,1,0,2,0,0,0.4,0.4,0.4,0.8,0,0,0,0,2,0,0,1,0,*.**,16,5
" Fryer, E",MIN,C,6,13,2,5,1,0,1,4,3,3,0,0,0.385,0.5,0.692,1.192,0,0,0,0,9,2,1,6,0,*.**,59,16
" Mesa, M",NYY,CF,5,13,2,5,2,0,0,1,1,2,0,1,0.385,0.429,0.538,0.967,0,0,0,0,7,2,0,2,4,0.5,59,14
" Walters, Z",WSH,SS,8,8,2,3,0,1,0,1,1,0,0,0,0.375,0.444,0.625,1.069,0,0,0,0,5,1,1,4,2,2,28,9
" Hamilton, B",CIN,CF,13,19,9,7,2,0,0,1,2,4,13,1,0.368,0.429,0.474,0.902,0,0,1,0,9,2,0,5,4,1.25,78,22
" Cabrera, M",DET,1B,148,555,103,193,26,1,44,137,90,94,3,0,0.348,0.442,0.636,1.078,19,5,0,2,353,71,19,149,140,1.06,2424,652
" Ramirez, H",LAD,SS,86,304,62,105,25,2,20,57,27,52,10,2,0.345,0.402,0.638,1.04,3,3,0,2,194,47,5,77,77,1,1193,336
" Pinto, J",MIN,C,21,76,10,26,5,0,4,12,6,22,0,0,0.342,0.398,0.566,0.963,0,1,0,0,43,9,3,19,12,1.58,335,83
" Butler, J",STL,RF,8,12,3,4,2,0,0,1,3,6,0,0,0.333,0.467,0.5,0.967,0,0,0,0,6,2,0,1,1,1,66,15
" DeWitt, B",ATL,3B,4,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1,0,0,1,0,2,1,0,2,1,2,14,4
" Dickey, R",TOR,P,2,6,2,2,1,0,0,1,0,0,0,0,0.333,0.333,0.5,0.833,0,0,0,0,3,1,0,2,2,1,17,6
