Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
" Carlyle, B",NYM,P,27,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,-.--,5,1
" Gomez, J",PIT,P,41,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,1,0,0,1,0,*.**,4,2
" Schlitter, B",CHC,P,57,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,-.--,1,1
" Schlosser, G",ATL,P,14,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,-.--,4,1
" Familia, J",NYM,P,71,3,0,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.333,0,0,0,0,2,0,0,1,0,*.**,7,3
" Rivero, C",BOS,3B,4,7,1,4,2,0,1,3,1,0,0,0,0.571,0.625,1.286,1.911,0,0,0,0,9,3,0,3,0,*.**,31,8
" Buchholz, C",BOS,P,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,11,2
" Chafin, A",ARI,P,1,2,0,1,0,0,0,1,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,7,2
" Hutchison, D",TOR,P,4,4,0,2,0,0,0,0,0,2,0,0,0.5,0.5,0.5,1,0,0,0,0,2,0,0,0,0,-.--,15,4
" McAllister, Z",CLE,P,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,1,2,0,*.**,4,2
" Ray, R",DET,P,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,8,2
" Tepesch, N",TEX,P,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,1,0,12,2
" Villarreal, P",CIN,P,10,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,6,2
" Brown, G",SF,CF,7,7,1,3,0,0,0,1,0,0,0,0,0.429,0.429,0.429,0.857,0,0,0,0,3,0,0,2,2,1,20,7
" Lewis, C",TEX,P,2,5,0,2,0,0,0,1,0,2,0,0,0.4,0.4,0.4,0.8,0,0,0,0,2,0,0,0,1,0,14,5
" Maness, S",STL,P,69,5,0,2,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0,0,0,0,2,0,0,3,0,*.**,24,5
" Moya, S",DET,RF,11,8,2,3,0,0,0,0,0,2,0,0,0.375,0.375,0.375,0.75,0,0,0,0,3,0,0,2,1,2,31,8
" Kouzmanoff, K",TEX,3B,13,47,8,17,6,0,2,10,2,7,0,0,0.362,0.412,0.617,1.029,1,2,0,0,29,8,2,14,11,1.27,184,51
" Stassi, M",HOU,C,7,20,2,7,2,0,0,4,0,6,0,0,0.35,0.35,0.45,0.8,0,0,0,0,9,2,0,3,4,0.75,77,20
" Smolinski, J",TEX,LF,24,86,12,30,5,0,3,12,3,24,0,0,0.349,0.391,0.512,0.903,0,3,0,0,44,8,1,16,17,0.94,366,92
" Ynoa, R",COL,3B,19,67,5,23,6,1,0,13,4,9,0,0,0.343,0.38,0.463,0.843,0,0,0,0,31,7,1,21,15,1.4,272,71
" Morgan, N",CLE,CF,15,41,8,14,1,0,1,6,7,6,3,0,0.341,0.429,0.439,0.868,0,0,3,1,18,2,0,14,11,1.27,187,52
" Altuve, J",HOU,2B,158,660,85,225,47,3,7,59,36,53,56,9,0.341,0.377,0.453,0.83,7,5,1,5,299,57,20,219,189,1.16,2200,707
" Turner, J",LAD,3B,109,288,46,98,21,1,7,43,28,58,6,1,0.34,0.404,0.493,0.897,1,4,0,2,142,29,6,84,56,1.5,1338,322
" Tulowitzki, T",COL,SS,91,315,71,107,18,1,21,52,50,57,1,1,0.34,0.432,0.603,1.035,4,5,0,5,190,40,4,73,87,0.84,1430,375
" Martinez, V",DET,DH,151,561,87,188,33,0,32,103,70,42,3,2,0.335,0.409,0.565,0.974,28,4,0,6,317,65,17,176,178,0.99,2586,641
" Castillo, R",BOS,CF,10,36,6,12,1,0,2,6,3,6,3,0,0.333,0.4,0.528,0.928,0,1,0,0,19,3,0,14,5,2.8,133,40
" Chacin, J",COL,P,10,15,2,5,1,0,0,0,1,4,0,0,0.333,0.375,0.4,0.775,0,0,1,0,6,1,0,5,2,2.5,70,17
" Colon, C",KC,2B,21,45,8,15,5,1,0,6,3,4,2,0,0.333,0.375,0.489,0.864,0,0,1,0,22,6,1,17,11,1.55,170,49
" Corcino, D",CIN,P,5,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,2,0,1,0,0,4,0,*.**,8,5
" Danks, J",CWS,P,1,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,0,1,0,9,3
" Hill, T",WSH,P,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,2,0,*.**,9,3
" Huff, D",NYY,P,16,3,1,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,0,0,-.--,10,3
" Lane, J",SD,P,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,0,2,0,9,3
" Norris, B",BAL,P,3,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667,0,0,1,0,1,0,0,2,0,*.**,17,4
" Penny, B",MIA,P,8,6,1,2,1,0,0,0,0,3,0,0,0.333,0.333,0.5,0.833,0,0,2,0,3,1,0,2,1,2,29,8
