RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,CG,SHO,HB,IBB,GF,HLD,GIDP,GO,AO,WP,BK,SB,CS,PK,TBF,NP,WPCT,GO_AO,OBP,SLG,OPS,K_9,BB_9,H_9,K_BB,P_IP
1," Danish, T",CWS,0,0,10.8,3,0,0,0,1.2,6,2,2,0,3,0,0.667,5.4,0,0,0,1,2,0,0,1,2,0,0,0,0,0,12,41,.---,0.5,0.75,0.667,1.417,0,16.2,32.4,0,24.6
2," Mazzaro, V",SF,1,0,54,2,0,0,0,1,7,9,6,0,1,0,0.636,8,0,0,1,0,0,0,0,3,1,0,0,0,0,0,13,45,1,3,0.692,0.909,1.601,0,9,63,0,45
3," Pinder, B",NYY,0,0,18,1,0,0,0,1,3,2,2,0,1,1,0.6,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,18,.---,*.**,0.667,0.6,1.267,9,9,27,1,18
4," Pena, A",MIL,0,0,27,1,0,0,0,1.2,5,5,5,3,2,0,0.556,4.2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,11,43,.---,1,0.636,1.556,2.192,0,10.8,27,0,25.8
5," Mantiply, J",DET,0,0,16.88,5,0,0,0,2.2,7,5,5,1,2,2,0.538,3.38,0,0,0,1,3,0,1,3,2,0,0,1,0,0,16,64,.---,1.5,0.6,0.846,1.446,6.75,6.75,23.63,1,24
6," Mayers, M",STL,1,1,27,4,1,0,0,5.1,16,16,16,3,3,2,0.533,3.56,0,0,1,0,0,0,1,8,5,0,0,1,0,0,35,120,0.5,1.6,0.571,0.867,1.438,3.38,5.06,27,0.67,22.5
7," Rowen, B",MIL,0,0,15,4,0,0,0,3,10,6,5,0,0,2,0.526,3.33,0,0,0,0,1,0,1,3,4,0,0,0,0,0,19,60,.---,0.75,0.526,0.526,1.053,6,0,30,*.**,20
8," Flande, Y",COL,0,0,12.27,2,0,0,0,3.2,8,6,5,0,3,0,0.5,3,0,0,0,1,0,0,2,7,2,0,0,0,0,0,20,62,.---,3.5,0.579,0.75,1.329,0,7.36,19.64,0,16.91
8," Goins, R",TOR,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0.5,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,5,15,.---,*.**,0.6,0.5,1.1,0,9,18,0,15
8," House, T",CLE,0,0,3.38,4,0,0,0,2.2,6,1,1,0,0,2,0.5,2.25,0,0,1,0,0,0,0,2,3,0,0,0,1,1,14,53,.---,0.67,0.5,0.5,1,6.75,0,20.25,*.**,19.87
8," Hursh, J",ATL,0,0,33.75,2,0,0,0,1.1,4,5,5,0,3,1,0.5,5.25,0,0,0,0,0,0,0,3,0,1,0,0,0,0,11,49,.---,*.**,0.636,0.5,1.136,6.75,20.25,27,0.33,36.75
8," Kirkman, M",MIL,0,0,19.29,2,0,0,0,2.1,7,5,5,0,1,1,0.5,3.43,0,0,0,0,0,0,0,4,2,0,0,0,0,0,15,40,.---,2,0.533,0.786,1.319,3.86,3.86,27,1,17.14
8," Montero, M",CHC,0,0,6.75,1,0,0,0,1.1,4,1,1,0,0,0,0.5,3,0,0,1,0,1,0,0,2,2,0,0,0,0,0,9,31,.---,1,0.556,0.5,1.056,0,0,27,-.--,23.25
8," Motter, T",TB,0,0,0,1,0,0,0,0.1,1,0,0,0,0,0,0.5,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6,.---,0,0.5,0.5,1,0,0,27,-.--,18
8," Partch, C",PIT,0,0,40.5,2,0,0,0,0.2,2,3,3,0,2,0,0.5,6,0,0,0,0,0,0,1,2,0,1,0,1,0,0,6,24,.---,*.**,0.667,0.5,1.167,0,27,27,0,36
8," Perkins, G",MIN,0,0,9,2,0,0,1,2,5,2,2,0,1,3,0.5,3,0,0,0,0,1,0,0,0,3,2,0,0,0,0,12,48,.---,0,0.5,0.7,1.2,13.5,4.5,22.5,3,24
17," Roth, M",TEX,0,0,14.73,1,0,0,0,3.2,10,6,6,3,1,3,0.476,3,0,0,0,0,1,0,0,7,1,0,0,0,0,0,22,82,.---,7,0.5,1.048,1.548,7.36,2.45,24.55,3,22.36
18," Rondon, J",PIT,0,0,17.18,2,0,0,0,3.2,9,7,7,1,1,4,0.474,2.73,0,0,0,0,1,0,2,5,1,1,0,0,0,0,20,79,.---,5,0.5,0.789,1.289,9.82,2.45,22.09,4,21.55
19," Huff, D",LAA,0,2,11.81,2,2,0,0,5.1,13,10,7,4,2,3,0.464,2.81,0,0,0,0,0,0,1,11,3,0,0,0,0,0,32,108,0,3.67,0.484,0.964,1.448,5.06,3.38,21.94,1.5,20.25
20," Somsen, L",LAD,0,0,19.29,2,0,0,0,2.1,6,5,5,2,3,2,0.462,3.86,0,0,0,0,1,0,0,4,1,0,0,0,0,0,16,58,.---,4,0.563,0.923,1.486,7.71,11.57,23.14,0.67,24.86
21," Kratz, E",TOR,0,0,4.5,2,0,0,0,2,5,2,1,0,0,1,0.455,2.5,0,0,0,0,2,0,0,3,2,2,0,0,0,0,11,44,.---,1.5,0.455,0.455,0.909,4.5,0,22.5,*.**,22
21," Mejia, A",MIN,0,0,7.71,1,0,0,0,2.1,5,2,2,0,1,0,0.455,2.57,0,0,0,0,0,0,0,3,4,0,0,0,0,0,13,42,.---,0.75,0.462,0.636,1.098,0,3.86,19.29,0,18
23," Anderson, B",LAD,1,2,11.91,4,3,0,0,11.1,25,15,15,4,4,5,0.446,2.56,0,0,0,0,0,0,0,19,9,2,0,1,1,1,62,209,0.333,2.11,0.475,0.732,1.208,3.97,3.18,19.85,1.25,18.44
24," Pazos, J",NYY,1,0,13.5,7,0,0,0,3.1,7,5,5,2,1,3,0.438,2.4,0,0,0,0,1,0,1,5,1,0,0,0,0,0,17,58,1,5,0.471,0.938,1.408,8.1,2.7,18.9,3,17.4
25," Flaherty, R",BAL,0,0,18,1,0,0,0,1,3,2,2,1,0,0,0.429,3,0,0,0,0,1,0,0,3,1,0,0,0,0,0,7,19,.---,3,0.429,1.143,1.571,0,0,27,-.--,19
25," Russell, J",PHI,0,0,18.69,7,0,0,1,4.1,9,9,9,2,5,4,0.429,3.23,0,0,0,0,1,1,0,3,6,0,0,0,0,0,27,116,.---,0.5,0.519,0.762,1.28,8.31,10.38,18.69,0.8,26.77
27," Kensing, L",DET,0,0,1.93,3,0,0,0,4.2,8,1,1,0,2,1,0.421,2.14,0,0,0,0,0,0,3,7,3,0,0,0,0,0,21,77,.---,2.33,0.476,0.474,0.95,1.93,3.86,15.43,0.5,16.5
28," Elias, R",BOS,0,1,12.91,3,1,0,0,7.2,15,11,11,2,5,3,0.417,2.61,0,0,0,1,2,0,1,10,8,0,0,0,0,0,41,127,0,1.25,0.488,0.722,1.21,3.52,5.87,17.61,0.6,16.57
29," Jackson, L",TEX,0,0,10.8,8,0,0,0,11.2,22,14,14,4,8,3,0.415,2.57,0,0,0,0,2,0,2,12,17,0,0,1,1,0,62,242,.---,0.71,0.484,0.717,1.201,2.31,6.17,16.97,0.38,20.74
30," Matusz, B",CHC,0,0,14,8,1,0,0,9,17,14,14,6,9,3,0.415,2.89,0,0,1,0,2,1,1,12,11,1,0,0,0,0,53,205,.---,1.09,0.519,0.878,1.397,3,9,17,0.33,22.78
31," Heston, C",SF,1,1,10.8,4,0,0,0,5,9,6,6,0,6,3,0.409,3,0,0,0,2,0,0,0,6,5,3,0,0,1,0,29,110,0.5,1.2,0.536,0.636,1.172,5.4,10.8,16.2,0.5,22
31," Morimando, S",CLE,0,0,11.57,2,0,0,0,4.2,9,6,6,2,5,5,0.409,3,0,0,0,0,0,0,1,4,4,0,0,0,0,0,27,120,.---,1,0.519,0.773,1.291,9.64,9.64,17.36,1,25.71
31," Stumpf, D",KC,0,0,10.8,7,0,0,0,5,9,6,6,1,2,2,0.409,2.2,0,0,0,0,3,1,0,6,6,1,0,1,1,1,25,101,.---,1,0.458,0.636,1.095,3.6,3.6,16.2,1,20.2
34," Overton, D",OAK,1,3,11.47,7,5,0,0,24.1,48,31,31,12,7,17,0.407,2.26,0,0,1,0,2,0,1,15,40,1,0,1,1,1,128,485,0.25,0.38,0.438,0.822,1.26,6.29,2.59,17.75,2.43,19.93
35," Gonzalez, C",TEX,0,2,8.71,3,3,0,0,10.1,21,13,10,1,9,7,0.404,2.9,0,0,0,0,0,0,1,12,13,0,0,2,0,0,62,249,0,0.92,0.484,0.5,0.984,6.1,7.84,18.29,0.78,24.1
36," Antolin, D",TOR,0,0,13.5,1,0,0,0,2,4,3,3,1,1,1,0.4,2.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,42,.---,0,0.455,0.8,1.255,4.5,4.5,18,1,21
36," Dermody, M",TOR,0,0,12,5,0,0,0,3,6,4,4,1,0,5,0.4,2,0,0,1,0,1,0,0,2,2,1,0,0,0,0,16,60,.---,1,0.438,0.667,1.104,15,0,18,*.**,20
36," Diamond, S",TOR,0,0,27,1,0,0,0,1,2,3,3,0,2,0,0.4,4,0,0,0,0,1,0,0,1,2,0,0,0,0,0,7,26,.---,0.5,0.571,0.6,1.171,0,18,18,0,26
36," Hale, D",BAL,0,0,13.5,2,0,0,0,2,4,3,3,1,2,1,0.4,3,0,0,0,0,0,0,0,1,4,0,0,2,0,0,12,48,.---,0.25,0.5,0.7,1.2,4.5,9,18,0.5,24
36," LaMarre, R",BOS,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0.4,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,12,.---,0,0.4,0.6,1,0,0,18,-.--,12
36," Marshall, E",ARI,0,1,8.8,15,0,0,0,15.1,28,18,15,2,8,9,0.4,2.35,0,0,1,2,8,1,5,24,9,1,0,0,0,0,79,284,0,2.67,0.468,0.614,1.083,5.28,4.7,16.43,1.13,18.52
36," Sampson, A",TEX,0,1,7.71,1,1,0,0,4.2,8,4,4,2,1,2,0.4,1.93,0,0,0,0,0,0,2,4,6,0,0,0,0,0,21,85,0,0.67,0.429,0.7,1.129,3.86,1.93,15.43,2,18.21
36," Tejada, R",SF,0,0,18,1,0,0,0,1,2,2,2,2,0,0,0.4,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,19,.---,0,0.4,1.6,2,0,0,18,-.--,19
36," Webb, D",CWS,0,0,0,1,0,0,0,1,2,0,0,0,1,3,0.4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,27,.---,-.--,0.5,0.4,0.9,27,9,18,3,27
36," Younginer IV, M",ATL,0,0,6.43,8,0,0,0,7,12,5,5,0,4,4,0.4,2.29,0,0,1,0,1,1,0,9,7,0,0,1,0,0,37,147,.---,1.29,0.472,0.5,0.972,5.14,5.14,15.43,1,21
46," Lincecum, T",LAA,2,6,9.16,9,9,0,0,38.1,68,41,39,11,23,32,0.395,2.37,0,0,2,0,0,0,5,37,38,3,0,6,2,0,200,806,0.25,0.97,0.467,0.669,1.136,7.51,5.4,15.97,1.39,21.03
46," Saupold, W",DET,1,1,7.45,6,0,0,0,9.2,17,8,8,0,3,10,0.395,2.07,0,0,1,0,2,0,1,9,9,0,0,0,0,0,49,153,0.5,1,0.429,0.512,0.94,9.31,2.79,15.83,3.33,15.83
48," Chapman, K",HOU,0,0,9,9,0,0,0,8,15,8,8,0,4,6,0.395,2.38,0,0,0,0,1,0,1,9,8,0,0,1,0,0,42,147,.---,1.13,0.452,0.526,0.979,6.75,4.5,16.88,1.5,18.38
49," Freeman, S",ATL,0,0,12.91,7,0,0,0,7.2,13,11,11,2,9,8,0.394,2.87,0,0,0,0,4,0,1,4,10,1,0,0,0,0,44,179,.---,0.4,0.5,0.636,1.136,9.39,10.57,15.26,0.89,23.35
50," Leone, D",ARI,0,1,6.33,25,0,0,1,27,45,21,19,7,12,23,0.391,2.11,0,0,1,1,8,0,5,28,22,4,0,2,1,0,131,477,0,1.27,0.443,0.652,1.095,7.67,4,15,1.92,17.67
50," Wieland, J",ATL,0,1,10.8,1,1,0,0,5,9,6,6,1,0,3,0.391,1.8,0,0,0,0,0,0,1,8,3,0,0,0,0,0,23,88,0,2.67,0.391,0.565,0.957,5.4,0,16.2,*.**,17.6
52," Luebke, C",MIA,0,1,9.35,9,0,0,0,8.2,15,9,9,2,11,9,0.385,3,0,0,1,2,5,0,0,6,11,0,0,0,0,0,53,221,0,0.55,0.519,0.641,1.16,9.35,11.42,15.58,0.82,25.5
52," Rodgers, B",HOU,0,1,15.12,5,1,0,0,8.1,15,14,14,0,7,3,0.385,2.64,0,0,1,0,2,0,0,4,18,0,0,1,0,0,48,193,0,0.22,0.479,0.59,1.069,3.24,7.56,16.2,0.43,23.16
54," Gurka, J",COL,0,0,9.31,6,0,0,0,9.2,16,10,10,1,2,7,0.381,1.86,0,0,0,0,5,0,1,12,8,0,0,1,1,1,45,155,.---,1.5,0.4,0.571,0.971,6.52,1.86,14.9,3.5,16.03
54," Melville, T",CIN,0,1,11,3,2,0,0,9,16,12,11,5,9,8,0.381,2.78,0,0,1,0,0,0,1,12,8,1,0,1,0,0,54,203,0,1.5,0.5,0.81,1.31,8,9,16,0.89,22.56
56," Broadway, M",SF,0,0,11.81,4,0,0,0,5.1,9,7,7,2,1,4,0.375,1.88,0,0,0,0,2,0,1,6,5,0,0,0,0,0,25,85,.---,1.2,0.4,0.667,1.067,6.75,1.69,15.19,4,15.94
56," Graham, J",NYY,0,0,10.8,1,0,0,0,1.2,3,2,2,0,1,2,0.375,2.4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,9,23,.---,0.5,0.444,0.625,1.069,10.8,5.4,16.2,2,13.8
56," Guerrero, T",MIA,0,0,4.5,1,0,0,0,2,3,1,1,0,1,0,0.375,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,9,22,.---,0.67,0.444,0.5,0.944,0,4.5,13.5,0,11
56," Ross, T",SD,0,1,11.81,1,1,0,0,5.1,9,8,7,0,1,5,0.375,1.88,0,0,2,0,0,0,0,6,4,1,0,0,0,0,27,94,0,1.5,0.444,0.542,0.986,8.44,1.69,15.19,5,17.63
56," Schuster, P",PHI,0,1,18.69,11,0,0,0,8.2,15,19,18,1,10,8,0.375,2.88,0,0,2,0,3,0,0,9,10,2,0,0,0,0,54,216,0,0.9,0.509,0.625,1.134,8.31,10.38,15.58,0.8,24.92
61," Carasiti, M",COL,1,0,9.19,19,0,0,0,15.2,25,17,16,1,11,17,0.373,2.3,0,0,3,0,7,2,2,12,15,2,0,1,1,0,83,307,1,0.8,0.47,0.582,1.052,9.77,6.32,14.36,1.55,19.6
62," Diaz, D",CIN,0,0,9.45,6,0,0,0,6.2,10,9,7,2,7,3,0.37,2.55,0,0,0,0,0,0,3,10,6,0,0,0,0,0,36,145,.---,1.67,0.486,0.704,1.189,4.05,9.45,13.5,0.43,21.75
63," Webb, R",CWS,0,0,5.19,18,0,0,0,17.1,27,11,10,2,3,11,0.37,1.73,0,0,0,1,7,0,4,18,17,3,0,2,1,2,76,292,.---,1.06,0.395,0.479,0.874,5.71,1.56,14.02,3.67,16.85
64," Tepesch, N",KC,0,1,11.25,1,1,0,0,4,7,5,5,1,0,3,0.368,1.75,0,0,0,0,0,0,0,4,5,0,0,0,0,0,19,66,0,0.8,0.368,0.632,1,6.75,0,15.75,*.**,16.5
