RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,CG,SHO,HB,IBB,GF,HLD,GIDP,GO,AO,WP,BK,SB,CS,PK,TBF,NP,WPCT,GO_AO,OBP,SLG,OPS,K_9,BB_9,H_9,K_BB,P_IP
1," McCutchen, D",PIT,0,1,*.**,1,0,0,0,0,1,2,2,1,1,0,1,*.**,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,12,0,-.--,1,4,5,-.--,*.**,*.**,0,*.**
2," Olson, G",OAK,0,0,108,1,0,0,0,0.1,3,4,4,0,1,0,0.75,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,20,.---,0,0.8,1.5,2.3,0,27,81,0,60
3," Dyson, S",TOR,0,0,40.5,2,0,0,0,0.2,4,3,3,0,2,1,0.667,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,25,.---,*.**,0.75,1,1.75,13.5,27,54,0.5,37.5
3," Sherrill, G",SEA,0,0,27,2,0,0,0,1.1,6,4,4,2,1,0,0.667,5.25,0,0,0,0,1,0,1,3,0,0,0,0,0,0,10,32,.---,*.**,0.7,1.333,2.033,0,6.75,40.5,0,24
5," Paterson, J",ARI,0,0,37.13,6,0,0,0,2.2,15,11,11,2,3,0,0.652,6.75,0,0,0,0,0,1,0,5,3,0,0,0,0,0,26,91,.---,1.67,0.692,1.087,1.779,0,10.13,50.63,0,34.12
6," Verdugo, R",KC,0,1,32.4,1,1,0,0,1.2,8,6,6,1,2,2,0.615,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,15,55,0,0.5,0.667,1,1.667,10.8,10.8,43.2,1,33
7," Lueke, J",TB,0,0,18.9,3,0,0,0,3.1,9,7,7,0,3,2,0.563,3.6,0,0,0,0,2,0,0,0,7,0,0,0,0,0,21,78,.---,0,0.571,0.813,1.384,5.4,8.1,24.3,0.67,23.4
8," Warren, A",NYY,0,0,23.14,1,1,0,0,2.1,8,6,6,2,2,1,0.533,4.29,0,0,0,0,0,0,0,2,4,0,0,1,0,0,17,77,.---,0.5,0.588,1,1.588,3.86,7.71,30.86,0.5,33
9," Brummett, T",TOR,0,0,0,1,0,0,0,0.2,2,0,0,0,0,2,0.5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11,.---,-.--,0.5,0.5,1,27,0,27,*.**,16.5
9," Demel, S",ARI,0,1,9,1,0,0,0,1,2,1,1,0,1,0,0.5,3,0,0,0,1,1,0,0,1,2,0,0,0,0,0,6,13,0,0.5,0.6,0.5,1.1,0,9,18,0,13
9," Gentry, C",TEX,0,0,18,1,0,0,0,1,3,2,2,0,1,0,0.5,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7,20,.---,0,0.571,0.667,1.238,0,9,27,0,20
9," Hernandez, P",MIN,0,1,18,1,1,0,0,4,12,8,8,3,1,2,0.5,3.25,0,0,0,0,0,0,0,3,7,0,0,0,0,0,25,87,0,0.43,0.52,0.917,1.437,4.5,2.25,27,2,21.75
9," Mather, J",CHC,0,0,0,1,0,0,0,0.1,1,0,0,0,0,0,0.5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,.---,*.**,0.5,0.5,1,0,0,27,-.--,12
