RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,CG,SHO,HB,IBB,GF,HLD,GIDP,GO,AO,WP,BK,SB,CS,PK,TBF,NP,WPCT,GO_AO,OBP,SLG,OPS,K_9,BB_9,H_9,K_BB,P_IP
27," Cisnero, J",HOU,0,0,9.64,5,0,0,1,4.2,8,5,5,0,4,5,0.4,2.57,0,0,0,0,1,0,0,1,7,0,0,1,0,0,25,100,.---,0.14,0.48,0.45,0.93,9.64,7.71,15.43,1.25,21.43
27," Dunn, A",OAK,0,0,9,1,0,0,0,1,2,1,1,0,1,0,0.4,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,6,22,.---,0.5,0.5,0.4,0.9,0,9,18,0,22
27," Hagens, B",ARI,0,1,3.38,2,0,0,0,2.2,4,1,1,0,3,2,0.4,2.63,0,0,0,1,2,0,1,4,1,0,0,0,0,0,14,55,0,4,0.538,0.5,1.038,6.75,10.13,13.5,0.67,20.62
27," Marks, J",TEX,0,0,13.5,1,0,0,0,2,4,3,3,0,3,2,0.4,3.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,55,.---,0,0.538,0.6,1.138,9,13.5,18,0.67,27.5
27," Parnell, B",NYM,0,0,9,1,0,0,1,1,2,1,1,0,1,1,0.4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,25,.---,0,0.5,0.6,1.1,9,9,18,1,25
27," Putkonen, L",DET,0,0,27,2,0,0,0,2.2,6,8,8,2,2,1,0.4,3,0,0,1,0,0,0,0,5,3,0,0,1,0,0,18,59,.---,1.67,0.5,1,1.5,3.38,6.75,20.25,0.5,22.12
27," Worth, D",DET,0,0,4.5,2,0,0,0,2,4,1,1,0,0,2,0.4,2,0,0,0,0,2,0,0,3,1,0,0,0,0,0,10,36,.---,3,0.4,0.6,1,9,0,18,*.**,18
34," Pettibone, J",PHI,0,1,9,2,2,0,0,9,17,10,9,2,3,6,0.395,2.22,0,0,0,1,0,0,0,13,8,0,0,0,0,0,47,173,0,1.63,0.435,0.581,1.016,6,3,17,2,19.22
35," Thompson, T",CWS,0,0,10.13,5,0,0,0,5.1,9,6,6,1,4,4,0.391,2.44,0,0,1,0,1,0,2,5,5,0,0,1,0,0,28,112,.---,1,0.5,0.609,1.109,6.75,6.75,15.19,1,21
36," Paulino, F",CWS,0,2,11.29,4,4,0,0,18.1,35,24,23,6,12,14,0.389,2.56,0,0,1,1,0,0,2,21,20,2,0,3,0,0,103,417,0,1.05,0.466,0.667,1.133,6.87,5.89,17.18,1.17,22.75
37," Rosenberg, B",PHI,1,0,6.75,13,0,0,0,12,20,10,9,5,7,9,0.385,2.25,0,0,0,0,6,0,3,9,14,0,0,0,1,0,59,256,1,0.64,0.458,0.75,1.208,6.75,5.25,15,1.29,21.33
38," Schultz, B",TOR,0,1,7.88,4,0,0,0,8,13,7,7,1,1,5,0.382,1.75,0,0,0,1,3,0,2,9,8,0,0,0,0,0,36,129,0,1.13,0.389,0.559,0.948,5.63,1.13,14.63,5,16.13
39," Bettis, C",COL,0,2,9.12,21,0,0,1,24.2,42,26,25,4,10,13,0.378,2.11,0,0,1,2,9,1,2,38,23,5,0,1,0,0,127,499,0,1.65,0.434,0.586,1.02,4.74,3.65,15.32,1.3,20.23
40," Beavan, B",SEA,0,1,4.5,1,1,0,0,4,6,2,2,2,0,1,0.375,1.5,0,0,0,0,0,0,1,4,5,0,0,0,1,0,16,63,0,0.8,0.375,0.75,1.125,2.25,0,13.5,*.**,15.75
40," De La Rosa, D",LAA,0,0,11.57,3,0,0,0,2.1,3,3,3,0,3,0,0.375,2.57,0,0,0,1,2,0,0,3,4,1,0,0,0,0,13,40,.---,0.75,0.5,0.375,0.875,0,11.57,11.57,0,17.14
40," Feierabend, R",TEX,0,0,6.14,6,0,0,0,7.1,12,5,5,0,2,4,0.375,1.91,0,0,0,1,0,1,0,9,9,1,0,0,0,1,36,134,.---,1,0.4,0.5,0.9,4.91,2.45,14.73,2,18.27
40," Flynn, B",MIA,0,1,9,2,1,0,0,7,12,7,7,0,3,6,0.375,2.14,0,0,0,0,0,0,1,8,6,1,0,1,0,0,35,140,0,1.33,0.429,0.5,0.929,7.71,3.86,15.43,2,20
44," Nova, I",NYY,2,2,8.27,4,4,0,0,20.2,32,19,19,6,6,12,0.372,1.84,0,0,2,0,0,0,4,24,20,1,0,1,0,1,96,328,0.5,1.2,0.417,0.616,1.033,5.23,2.61,13.94,2,15.87
45," Francisco, F",CWS,0,0,12.27,4,0,0,0,3.2,7,6,5,2,3,5,0.368,2.73,0,0,0,0,1,0,0,3,4,1,0,4,0,0,22,100,.---,0.75,0.455,0.737,1.191,12.27,7.36,17.18,1.67,27.27
45," Lannan, J",NYM,1,0,15.75,5,0,0,0,4,7,7,7,3,2,2,0.368,2.25,0,0,0,0,3,1,0,7,3,1,0,0,0,0,21,92,1,2.33,0.429,1,1.429,4.5,4.5,15.75,1,23
47," Wang, W",MIL,0,0,10.9,14,0,0,0,17.1,30,23,21,6,8,13,0.361,2.19,0,0,1,1,10,0,0,18,22,1,0,1,0,0,92,357,.---,0.82,0.424,0.699,1.123,6.75,4.15,15.58,1.63,20.6
48," Owens, R",HOU,0,1,7.94,1,1,0,0,5.2,9,5,5,1,2,1,0.36,1.94,0,0,1,0,0,0,0,6,10,0,0,0,0,0,29,91,0,0.6,0.414,0.56,0.974,1.59,3.18,14.29,0.5,16.06
49," Marshall, S",CIN,0,0,7.71,15,0,0,0,14,23,14,12,1,12,14,0.354,2.5,0,0,2,0,4,1,1,21,8,1,0,0,0,0,80,298,.---,2.63,0.468,0.492,0.961,9,7.71,14.79,1.17,21.29
50," Slowey, K",MIA,1,1,5.3,17,2,0,0,37.1,53,23,22,3,9,24,0.353,1.66,0,0,2,1,4,0,5,41,40,0,0,2,1,0,169,591,0.5,1.03,0.388,0.52,0.908,5.79,2.17,12.78,2.67,15.83
51," Irwin, P",TEX,0,1,6.75,1,1,0,0,4,6,3,3,1,2,2,0.353,2,0,0,1,0,0,0,1,4,5,1,0,1,0,0,20,83,0,0.8,0.45,0.529,0.979,4.5,4.5,13.5,1,20.75
51," West, M",TEX,0,0,6.75,3,0,0,0,4,6,3,3,0,1,3,0.353,1.75,0,0,0,0,1,0,1,4,4,0,0,0,0,0,18,69,.---,1,0.389,0.412,0.801,6.75,2.25,13.5,3,17.25
53," Edwards, J",TEX,0,0,4.32,9,0,0,0,8.1,13,5,4,0,5,9,0.351,2.16,0,0,1,0,3,1,1,7,8,2,0,2,0,0,43,164,.---,0.88,0.442,0.378,0.82,9.72,5.4,14.04,1.8,19.68
54," Dennick, R",CIN,0,0,11.57,8,0,0,0,4.2,7,7,6,2,4,3,0.35,2.36,0,0,0,0,2,1,1,3,8,2,0,0,0,0,25,94,.---,0.38,0.44,0.7,1.14,5.79,7.71,13.5,0.75,20.14
