RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Abreu, J",HOU,P,7,0,6.2,1,1,0,0,0,-,-,-,-,-,1,0.14
1," Accardo, J",BAL,P,31,0,37.2,6,1,5,0,1,-,-,-,-,-,1,0.19
1," Aceves, A",BOS,P,55,4,114,11,6,5,0,1,-,-,-,-,-,1,0.2
1," Acosta, M",NYM,P,44,0,47,6,3,3,0,0,-,-,-,-,-,1,0.14
1," Adams, M",TEX,P,75,0,73.2,9,4,5,0,0,-,-,-,-,-,1,0.12
1," Adcock, N",KC,P,24,3,60.1,15,7,8,0,0,-,-,-,-,-,1,0.63
1," Affeldt, J",SF,P,67,0,61.2,18,7,11,0,0,-,-,-,-,-,1,0.27
1," Alburquerque, A",DET,P,41,0,43.1,6,3,3,0,0,-,-,-,-,-,1,0.15
1," Almonte, E",MIL,RF,9,6,47,5,5,0,0,0,-,-,-,-,-,1,0.56
1," Arredondo, J",CIN,P,53,0,53,11,10,1,0,0,-,-,-,-,-,1,0.21
1," Asencio, J",ATL,P,6,0,10.1,5,2,3,0,1,-,-,-,-,-,1,0.83
1," Atkins, M",BAL,P,3,3,10.2,1,1,0,0,0,-,-,-,-,-,1,0.33
1," Augenstein, B",STL,P,5,0,5.2,1,0,1,0,0,-,-,-,-,-,1,0.2
1," Axelrod, D",CWS,P,4,3,18.2,7,3,4,0,2,-,-,-,-,-,1,1.75
1," Ayala, L",NYY,P,52,0,56,13,2,11,0,2,-,-,-,-,-,1,0.25
1," Badenhop, B",FLA,P,50,0,63.2,13,4,9,0,0,-,-,-,-,-,1,0.26
1," Baez, D",PHI,P,29,0,36,7,3,4,0,0,-,-,-,-,-,1,0.24
1," Bailey, A",OAK,P,42,0,41.2,5,1,4,0,0,-,-,-,-,-,1,0.12
1," Baker, J",FLA,C,1,0,3,2,2,0,0,0,0,0,-,0,0,1,2
1," Baker, S",MIN,P,23,21,134.2,17,11,6,0,0,-,-,-,-,-,1,0.74
1," Balfour, G",OAK,P,62,0,62,6,2,4,0,1,-,-,-,-,-,1,0.1
1," Bass, A",SD,P,27,3,48.1,18,11,7,0,3,-,-,-,-,-,1,0.67
1," Batista, M",NYM,P,35,5,60,12,8,4,0,0,-,-,-,-,-,1,0.34
1," Baxter, M",NYM,LF,13,7,73,13,12,1,0,0,-,-,-,-,-,1,1
1," Beachy, B",ATL,P,25,25,141.2,23,8,15,0,1,-,-,-,-,-,1,0.92
1," Beato, P",NYM,P,60,0,67,17,3,14,0,2,-,-,-,-,-,1,0.28
1," Beavan, B",SEA,P,15,15,97,15,5,10,0,0,-,-,-,-,-,1,1
1," Beimel, J",PIT,P,35,0,25.1,1,0,1,0,0,-,-,-,-,-,1,0.03
1," Belisle, M",COL,P,74,0,72,13,2,11,0,0,-,-,-,-,-,1,0.18
1," Bell, H",SD,P,64,0,62.2,8,3,5,0,0,-,-,-,-,-,1,0.13
1," Bell, T",LAA,P,19,0,34.1,5,3,2,0,0,-,-,-,-,-,1,0.26
1," Below, D",DET,P,14,2,29,2,1,1,0,0,-,-,-,-,-,1,0.14
1," Benoit, J",DET,P,66,0,61,5,1,4,0,1,-,-,-,-,-,1,0.08
1," Berg, J",CHC,P,8,0,12,2,0,2,0,0,-,-,-,-,-,1,0.25
1," Berken, J",BAL,P,40,0,47,8,2,6,0,1,-,-,-,-,-,1,0.2
1," Betancourt, R",COL,P,68,0,62.1,2,1,1,0,0,-,-,-,-,-,1,0.03
1," Billings, B",OAK,P,4,0,7,2,1,1,0,1,-,-,-,-,-,1,0.5
1," Blackmon, C",COL,CF,27,25,214.1,45,43,2,0,0,-,-,-,-,-,1,1.67
1," Blanton, J",PHI,P,11,8,41.1,9,1,8,0,2,-,-,-,-,-,1,0.82
1," Blevins, J",OAK,P,26,0,28.1,3,0,3,0,0,-,-,-,-,-,1,0.12
1," Blum, G",ARI,3B,14,12,103,28,4,24,0,3,-,-,-,-,-,1,2
1," Boggs, B",MIL,LF,5,2,22,2,2,0,0,0,-,-,-,-,-,1,0.4
1," Boscan, J",ATL,C,3,2,18,19,18,1,0,0,2,1,0.667,0,1,1,6.33
1," Bowden, M",BOS,P,14,0,20,3,2,1,0,0,-,-,-,-,-,1,0.21
1," Bowker, J",PHI,LF,4,1,14,9,8,1,0,0,-,-,-,-,-,1,2.25
1," Boyer, B",STL,P,5,0,6.2,1,0,1,0,0,-,-,-,-,-,1,0.2
1," Braden, D",OAK,P,3,3,18,1,0,1,0,0,-,-,-,-,-,1,0.33
1," Broderick, B",WSH,P,11,0,12.1,4,2,2,0,0,-,-,-,-,-,1,0.36
1," Brown, A",COL,RF,7,5,40,10,10,0,0,0,-,-,-,-,-,1,1.43
1," Brown, D",PIT,C,10,8,78,52,49,3,0,1,6,1,0.857,3,4,1,5.2
