RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Cashner, A",SD,P,33,5,46.1,13,5,8,0,0,-,-,-,-,-,1,0.39
1," Castillo, L",CHC,P,13,0,16,2,1,1,0,0,-,-,-,-,-,1,0.15
1," Cedeno, X",HOU,P,44,0,31,6,4,2,0,0,-,-,-,-,-,1,0.14
1," Cervelli, F",NYY,C,3,0,5,8,8,0,0,0,0,0,-,0,1,1,2.67
1," Chamberlain, J",NYY,P,22,0,20.2,2,0,2,0,0,-,-,-,-,-,1,0.09
1," Chambers, A",STL,CF,28,8,115,33,32,1,0,0,-,-,-,-,-,1,1.18
1," Chapman, J",CHC,P,14,0,12,2,0,2,0,0,-,-,-,-,-,1,0.14
1," Choate, R",LAD,P,80,0,38.2,12,6,6,0,1,-,-,-,-,-,1,0.15
1," Chulk, V",MIL,P,7,0,9,1,1,0,0,0,-,-,-,-,-,1,0.14
1," Clement, J",PIT,1B,1,1,6,8,7,1,0,0,-,-,-,-,-,1,8
1," Cleto, M",STL,P,9,0,9,1,1,0,0,0,-,-,-,-,-,1,0.11
1," Cloyd, T",PHI,P,6,6,33,8,2,6,0,2,-,-,-,-,-,1,1.33
1," Coffey, T",LAD,P,23,0,19.1,6,0,6,0,0,-,-,-,-,-,1,0.26
1," Coghlan, C",MIA,CF,36,23,221.2,54,54,0,0,0,-,-,-,-,-,1,1.5
1," Coke, P",DET,P,66,0,54,11,4,7,0,1,-,-,-,-,-,1,0.17
1," Coleman, C",CHC,P,17,1,24.1,5,3,2,0,0,-,-,-,-,-,1,0.29
1," Coleman, L",KC,P,42,0,51,3,0,3,0,0,-,-,-,-,-,1,0.07
1," Collins, T",KC,P,72,0,69.2,12,3,9,0,0,-,-,-,-,-,1,0.17
1," Collmenter, J",ARI,P,28,11,90.1,16,5,11,0,1,-,-,-,-,-,1,0.57
1," Colon, R",KC,P,3,0,8,3,1,2,0,0,-,-,-,-,-,1,1
1," Constanza, J",ATL,LF,26,20,182,43,41,2,0,0,-,-,-,-,-,1,1.65
1," Contreras, J",PHI,P,17,0,13.2,1,1,0,0,0,-,-,-,-,-,1,0.06
1," Cook, R",OAK,P,71,0,73.1,13,7,6,0,2,-,-,-,-,-,1,0.18
1," Corbin, P",ARI,P,22,17,107,20,3,17,0,2,-,-,-,-,-,1,0.91
1," Cordero, F",HOU,P,47,0,39.1,7,2,5,0,0,-,-,-,-,-,1,0.15
1," Corpas, M",CHC,P,48,0,46.2,7,4,3,0,1,-,-,-,-,-,1,0.15
1," Cousins, S",TOR,CF,36,14,161,44,44,0,0,0,-,-,-,-,-,1,1.22
1," Cowgill, C",OAK,RF,39,28,255.1,72,69,3,0,2,-,-,-,-,-,1,1.85
1," Crawford, E",TOR,P,10,0,8,1,0,1,0,0,-,-,-,-,-,1,0.1
1," Crosby, C",DET,P,3,3,12.1,2,1,1,0,1,-,-,-,-,-,1,0.67
1," Crow, A",KC,P,73,0,64.2,9,4,5,0,0,-,-,-,-,-,1,0.12
