RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Abad, F",BOS,P,57,0,46.2,4,0,4,0,1,-,-,-,-,-,1,0.07
1," Achter, A",LAA,P,27,0,37.2,6,2,4,0,0,-,-,-,-,-,1,0.22
1," Ackley, D",NYY,RF,24,16,140.1,97,89,8,0,8,-,-,-,-,-,1,4.04
1," Adleman, T",CIN,P,13,13,69.2,13,6,7,0,0,-,-,-,-,-,1,1
1," Aguilar, J",CLE,1B,7,1,16,18,18,0,0,2,-,-,-,-,-,1,2.57
1," Albers, A",MIN,P,6,2,17,4,1,3,0,1,-,-,-,-,-,1,0.67
1," Alcantara, A",CIN,2B,12,4,46.2,21,12,9,0,1,-,-,-,-,-,1,1.75
1," Alcantara, R",OAK,P,5,5,22.1,2,0,2,0,0,-,-,-,-,-,1,0.4
1," Alfaro, J",PHI,C,4,4,31,27,27,0,0,0,0,1,0,1,5,1,6.75
1," Allen, C",CLE,P,67,0,68,9,3,6,0,1,-,-,-,-,-,1,0.13
1," Almora, A",CHC,CF,43,22,237,75,74,1,0,2,-,-,-,-,-,1,1.74
1," Altavilla, D",SEA,P,15,0,12.1,1,0,1,0,0,-,-,-,-,-,1,0.07
1," Alvarez, D",BAL,RF,1,1,10,1,1,0,0,0,-,-,-,-,-,1,1
1," Alvarez, D",TEX,P,26,0,26.2,2,0,2,0,0,-,-,-,-,-,1,0.08
1," Anderson, B",LAD,P,4,3,11.1,3,0,3,0,0,-,-,-,-,-,1,0.75
1," Andino, R",MIA,2B,7,4,35,15,9,6,0,1,-,-,-,-,-,1,2.14
1," Araujo, E",PHI,P,32,0,27.1,4,1,3,0,0,-,-,-,-,-,1,0.13
1," Armstrong, S",CLE,P,10,0,10.2,2,1,1,0,0,-,-,-,-,-,1,0.2
1," Asher, A",PHI,P,5,5,27.2,7,3,4,0,1,-,-,-,-,-,1,1.4
1," Austin, T",NYY,1B,33,22,201.2,185,170,15,0,17,-,-,-,-,-,1,5.61
1," Axford, J",OAK,P,68,0,65.2,13,2,11,0,0,-,-,-,-,-,1,0.19
1," Bailey, A",LAA,P,45,0,43.2,5,1,4,0,1,-,-,-,-,-,1,0.11
1," Bailey, H",CIN,P,6,6,23,4,3,1,0,0,-,-,-,-,-,1,0.67
1," Barnes, A",LAD,C,17,7,73,61,51,10,0,3,2,0,1,0,2,1,3.59
1," Barnes, D",TOR,P,12,0,13.2,1,0,1,0,0,-,-,-,-,-,1,0.08
1," Barnes, M",BOS,P,62,0,66.2,8,2,6,0,0,-,-,-,-,-,1,0.13
1," Barnette, T",TEX,P,53,0,60.1,8,6,2,0,0,-,-,-,-,-,1,0.15
1," Barrett, J",ARI,P,68,0,59.1,6,4,2,0,0,-,-,-,-,-,1,0.09
1," Bassitt, C",OAK,P,5,5,28,1,1,0,0,0,-,-,-,-,-,1,0.2
1," Bauer, T",CLE,P,35,28,190,36,17,19,0,0,-,-,-,-,-,1,1.03
1," Beck, C",CWS,P,25,0,25.1,1,1,0,0,0,-,-,-,-,-,1,0.04
1," Belisle, M",WSH,P,40,0,46,4,1,3,0,0,-,-,-,-,-,1,0.1
1," Bergman, C",COL,P,15,1,24.2,3,0,3,0,0,-,-,-,-,-,1,0.2
1," Blach, T",SF,P,4,2,17,2,2,0,0,0,-,-,-,-,-,1,0.5
1," Blanton, J",LAD,P,75,0,80,9,2,7,0,1,-,-,-,-,-,1,0.12
1," Blash, J",SD,RF,22,16,147,44,43,1,0,0,-,-,-,-,-,1,2
1," Bleier, R",NYY,P,23,0,23,6,1,5,0,0,-,-,-,-,-,1,0.26
1," Bolsinger, M",TOR,P,6,6,27.2,5,1,4,0,0,-,-,-,-,-,1,0.83
1," Bonifacio, E",ATL,CF,13,7,76.1,17,17,0,0,0,-,-,-,-,-,1,1.31
1," Borbon, J",BAL,CF,6,4,37,11,11,0,0,0,-,-,-,-,-,1,1.83
1," Boscan, W",ATL,P,6,1,15.1,6,1,5,0,0,-,-,-,-,-,1,1
1," Boxberger, B",TB,P,27,0,24.1,5,2,3,0,0,-,-,-,-,-,1,0.19
1," Boyer, B",MIL,P,61,0,66,10,3,7,0,1,-,-,-,-,-,1,0.16
1," Brach, B",BAL,P,71,0,79,9,5,4,0,0,-,-,-,-,-,1,0.13
1," Bracho, S",ARI,P,26,0,24.2,4,2,2,0,0,-,-,-,-,-,1,0.15
1," Bradley, J",BAL,P,6,0,7,1,0,1,0,0,-,-,-,-,-,1,0.17
1," Brantley, M",CLE,LF,11,10,89.1,19,18,1,0,0,-,-,-,-,-,1,1.73
1," Breslow, C",TEX,P,15,0,14,2,0,2,0,0,-,-,-,-,-,1,0.13
1," Britton, Z",BAL,P,69,0,67,17,1,16,0,0,-,-,-,-,-,1,0.25
1," Broxton, J",STL,P,66,0,60.2,17,3,14,0,0,-,-,-,-,-,1,0.26
1," Buchanan, J",CHC,P,2,1,6,2,2,0,0,0,-,-,-,-,-,1,1
1," Buchter, R",SD,P,67,0,63,5,0,5,0,0,-,-,-,-,-,1,0.07
1," Bumgarner, M",SF,P,34,34,226.2,22,1,21,0,1,-,-,-,-,-,1,0.65
1," Burgos, E",ARI,P,43,0,41.1,8,3,5,0,0,-,-,-,-,-,1,0.19
1," Burnett, S",WSH,P,10,0,5.2,3,0,3,0,0,-,-,-,-,-,1,0.3
1," Burns, A",TOR,2B,6,0,11,6,0,6,0,1,-,-,-,-,-,1,1
1," Burriss, E",PHI,2B,14,5,58.2,18,13,5,0,1,-,-,-,-,-,1,1.29
1," Bush, M",TEX,P,58,0,61.2,18,4,14,0,0,-,-,-,-,-,1,0.31
1," Buss, N",LAA,LF,33,23,210,40,39,1,0,0,-,-,-,-,-,1,1.21
