RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Aardsma, D",NYM,P,43,0,39.2,6,1,5,0,0,-,-,-,-,-,1,0.14
1," Abad, F",WSH,P,39,0,37.2,5,1,4,0,0,-,-,-,-,-,1,0.13
1," Affeldt, J",SF,P,39,0,33.2,10,1,9,0,0,-,-,-,-,-,1,0.26
1," Albers, A",MIN,P,10,10,60,13,4,9,0,1,-,-,-,-,-,1,1.3
1," Almonte, Z",NYY,LF,30,27,239,56,56,0,0,0,-,-,-,-,-,1,1.87
1," Alvarez, J",DET,P,14,6,38.2,3,0,3,0,0,-,-,-,-,-,1,0.21
1," Ambriz, H",HOU,P,43,0,36.1,10,1,9,0,1,-,-,-,-,-,1,0.23
1," Ames, S",MIA,P,4,0,4,1,1,0,0,0,-,-,-,-,-,1,0.25
1," Anderson, B",OAK,P,16,5,44.2,4,0,4,0,0,-,-,-,-,-,1,0.25
1," Asencio, J",BAL,P,4,0,2.1,1,0,1,0,0,-,-,-,-,-,1,0.25
1," Aumont, P",PHI,P,22,0,19.1,4,1,3,0,0,-,-,-,-,-,1,0.18
1," Avilan, L",ATL,P,75,0,65,27,11,16,0,0,-,-,-,-,-,1,0.36
1," Axford, J",STL,P,75,0,65,4,1,3,0,0,-,-,-,-,-,1,0.05
1," Ayala, L",ATL,P,39,0,33,10,0,10,0,1,-,-,-,-,-,1,0.26
1," Bailey, A",BOS,P,30,0,28.2,1,1,0,0,1,-,-,-,-,-,1,0.03
1," Baker, J",LAD,C,14,12,106,90,81,9,0,2,8,5,0.615,0,7,1,6.43
1," Baker, S",CHC,P,3,3,15,3,2,1,0,0,-,-,-,-,-,1,1
1," Bantz, B",SEA,C,1,1,8,5,5,0,0,0,2,0,1,0,0,1,5
1," Bard, D",CHC,P,2,0,1,1,0,1,0,0,-,-,-,-,-,1,0.5
1," Barnes, S",CLE,P,6,0,8.2,4,1,3,0,0,-,-,-,-,-,1,0.67
1," Bass, A",SD,P,24,0,42,10,5,5,0,0,-,-,-,-,-,1,0.42
1," Bastardo, A",PHI,P,48,0,42.2,2,1,1,0,0,-,-,-,-,-,1,0.04
1," Bauer, T",CLE,P,4,4,17,4,2,2,0,0,-,-,-,-,-,1,1
1," Bay, J",SEA,RF,67,50,481.1,105,103,2,0,0,-,-,-,-,-,1,1.57
1," Beachy, B",ATL,P,5,5,30,10,2,8,0,1,-,-,-,-,-,1,2
1," Beato, P",CIN,P,10,0,10,1,0,1,0,0,-,-,-,-,-,1,0.1
1," Beavan, B",SEA,P,12,2,39.2,4,0,4,0,0,-,-,-,-,-,1,0.33
1," Beckham, T",TB,2B,4,1,14,5,0,5,0,0,-,-,-,-,-,1,1.25
1," Belisle, M",COL,P,72,0,73,21,8,13,0,2,-,-,-,-,-,1,0.29
1," Below, D",MIA,P,2,0,2.2,1,0,1,0,0,-,-,-,-,-,1,0.5
1," Beltre, E",TEX,RF,19,10,95,26,26,0,0,0,-,-,-,-,-,1,1.37
1," Benoit, J",DET,P,66,0,67,14,6,8,0,0,-,-,-,-,-,1,0.21
1," Bernadina, R",PHI,LF,87,47,507.1,122,116,6,0,1,-,-,-,-,-,1,1.4
1," Bernier, D",MIN,SS,33,14,150,68,18,50,0,9,-,-,-,-,-,1,2.06
1," Berry, Q",BOS,LF,12,1,21.2,4,4,0,0,0,-,-,-,-,-,1,0.33
1," Betancourt, R",COL,P,32,0,28.2,6,0,6,0,0,-,-,-,-,-,1,0.19
1," Betemit, W",BAL,3B,4,0,1,1,1,0,0,0,-,-,-,-,-,1,0.25
