RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
1," Bautista, D",SF,P,29,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2
1," Buchholz, C",BOS,P,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Buchholz, T",TOR,P,7,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Camp, S",TOR,P,4,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Chacin, G",HOU,P,40,1,1,1,0,0,1,1,0,0,0,0,1,1,4,5
1," Chen, B",KC,P,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Jansen, K",LAD,P,26,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2
1," Meek, E",PIT,P,66,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Ogando, A",TEX,P,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2
10," Ciriaco, P",PIT,SS,8,6,3,3,1,1,0,1,0,3,0,0,0.5,0.5,1,1.5
10," Clippard, T",WSH,P,74,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Matsuzaka, D",BOS,P,2,4,0,2,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1
10," McClellan, K",STL,P,67,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," McClendon, M",MIL,P,17,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," Pavano, C",MIN,P,2,6,0,3,0,0,0,0,0,2,0,0,0.5,0.5,0.5,1
10," Rogers, M",MIL,P,4,2,1,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Shields, J",TB,P,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," Sosa, J",FLA,P,22,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Storen, D",WSH,P,50,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
20," Sogard, E",OAK,2B,4,7,0,3,0,0,0,0,2,1,0,1,0.429,0.556,0.429,0.984
21," Budde, R",LAA,C,6,10,2,4,1,0,1,3,1,5,0,0,0.4,0.455,0.8,1.255
21," Burriss, E",SF,2B,7,5,3,2,0,0,0,0,0,1,0,0,0.4,0.4,0.4,0.8
21," Lackey, J",BOS,P,3,5,1,2,1,0,0,0,0,1,0,0,0.4,0.4,0.6,1
21," Lincoln, B",PIT,P,10,15,0,6,0,0,0,3,0,3,0,0,0.4,0.4,0.4,0.8
21," Valdes, R",NYM,P,36,10,1,4,1,0,0,1,0,3,0,0,0.4,0.4,0.5,0.9
26," Haren, D",LAA,P,22,55,8,20,6,0,1,7,1,9,0,0,0.364,0.375,0.527,0.902
27," Hamilton, J",TEX,LF,133,518,95,186,40,3,32,100,43,95,8,1,0.359,0.411,0.633,1.044
28," Pagnozzi, M",STL,C,15,39,4,14,2,0,1,10,2,8,0,0,0.359,0.405,0.487,0.892
29," Carlin, L",CLE,C,6,14,4,5,0,0,2,3,2,5,0,0,0.357,0.438,0.786,1.223
