RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
1," Baez, D",BAL,P,3,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Chen, B",KC,P,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2
1," Corporan, C",MIL,C,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Davidson, D",FLA,P,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Gonzalez, E",OAK,P,3,2,0,2,0,0,0,0,0,0,0,0,1,1,1,2
1," Matos, O",SF,P,5,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2
7," Hoover, P",PHI,C,3,4,0,3,0,0,0,1,0,1,0,0,0.75,0.75,0.75,1.5
8," Castillo, W",CIN,C,4,3,0,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.333
9," Durango, L",SD,LF,9,11,3,6,0,0,0,0,2,2,2,1,0.545,0.615,0.545,1.161
10," Affeldt, J",SF,P,73,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," Cahill, T",OAK,P,1,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," Huber, J",MIN,1B,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," Ohman, W",LAD,P,21,2,0,1,0,0,0,1,0,1,0,0,0.5,0.5,0.5,1
10," Richardson, K",TEX,C,4,6,2,3,0,0,0,0,0,2,0,0,0.5,0.5,0.5,1
10," Wakefield, T",BOS,P,1,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Wood, T",FLA,P,17,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
17," Francisco, J",CIN,3B,14,21,4,9,1,0,1,7,3,7,0,0,0.429,0.52,0.619,1.139
18," Tracy, A",PHI,1B,9,12,1,5,0,1,0,1,0,3,0,0,0.417,0.417,0.583,1
19," Barfield, J",CLE,2B,17,20,5,8,1,0,0,2,0,7,0,1,0.4,0.4,0.45,0.85
19," Hu, C",LAD,SS,5,5,2,2,1,0,0,2,0,2,0,0,0.4,0.333,0.6,0.933
19," Morales, F",COL,P,40,5,0,2,0,0,0,1,0,2,0,0,0.4,0.4,0.4,0.8
19," Porcello, R",DET,P,2,5,0,2,0,0,0,2,0,1,0,0,0.4,0.4,0.4,0.8
23," Silva, W",SD,P,5,8,2,3,0,0,0,0,0,3,0,0,0.375,0.375,0.375,0.75
24," Mauer, J",MIN,C,138,523,94,191,30,1,28,96,76,63,4,1,0.365,0.444,0.587,1.031
25," Bates, A",BOS,1B,5,11,2,4,2,0,0,2,1,4,0,0,0.364,0.417,0.545,0.962
25," Ramirez, W",DET,LF,15,11,6,4,0,1,1,3,1,3,0,0,0.364,0.385,0.818,1.203
25," Van Every, J",BOS,RF,7,11,1,4,0,0,1,3,2,5,0,0,0.364,0.462,0.636,1.098
28," Suzuki, I",SEA,RF,146,639,88,225,31,4,11,46,32,71,26,9,0.352,0.386,0.465,0.851
29," Ramirez, H",FLA,SS,151,576,101,197,42,1,24,106,61,101,27,8,0.342,0.41,0.543,0.954
30," Jeter, D",NYY,SS,153,634,107,212,27,1,18,66,72,90,30,5,0.334,0.406,0.465,0.871
31," Brown, D",BOS,C,6,3,1,1,0,0,1,1,1,0,0,0,0.333,0.5,1.333,1.833
31," Fulchino, J",HOU,P,60,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1
31," Hudson, T",ATL,P,7,12,2,4,0,0,1,2,2,1,0,0,0.333,0.429,0.583,1.012
31," Mientkiewicz, D",LAD,1B,20,18,0,6,1,0,0,3,1,6,0,0,0.333,0.4,0.389,0.789
31," Miranda, J",NYY,1B,8,9,2,3,0,0,1,3,0,4,0,0,0.333,0.333,0.667,1
31," Mota, G",LAD,P,58,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667
31," Nieve, F",NYM,P,7,9,0,3,0,0,0,1,0,3,0,0,0.333,0.333,0.333,0.667
31," O'Sullivan, S",LAA,P,1,3,1,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
31," Price, D",TB,P,1,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
31," Rivera, S",WSH,P,30,3,2,1,0,0,0,0,1,0,0,0,0.333,0.5,0.333,0.833
31," Rusch, G",COL,P,11,6,0,2,1,0,0,0,0,2,0,0,0.333,0.333,0.5,0.833
42," Sandoval, P",SF,3B,153,572,79,189,44,5,25,90,52,83,5,5,0.33,0.387,0.556,0.943
43," Pujols, A",STL,1B,160,568,124,186,45,1,47,135,115,64,16,4,0.327,0.443,0.658,1.101
44," Helton, T",COL,1B,151,544,79,177,38,3,15,86,89,73,0,1,0.325,0.416,0.489,0.904
45," Beltran, C",NYM,CF,81,308,50,100,22,1,10,48,47,43,11,1,0.325,0.415,0.5,0.915
46," Hampton, M",HOU,P,21,37,6,12,1,0,1,7,2,8,0,0,0.324,0.35,0.432,0.782
47," Cabrera, M",DET,1B,160,611,96,198,34,0,34,103,68,107,6,2,0.324,0.396,0.547,0.942
48," Freese, D",STL,3B,17,31,3,10,2,0,1,7,2,7,0,0,0.323,0.353,0.484,0.837
49," Votto, J",CIN,1B,131,469,82,151,38,1,25,84,70,106,4,1,0.322,0.414,0.567,0.981
50," Young, M",TEX,1B,135,541,76,174,36,2,22,68,47,90,8,3,0.322,0.374,0.518,0.892
51," Coghlan, C",FLA,LF,128,504,84,162,31,6,9,47,53,77,8,5,0.321,0.39,0.46,0.85
52," Thole, J",NYM,C,17,53,2,17,2,1,0,9,4,5,1,0,0.321,0.356,0.396,0.752
53," Cano, R",NYY,2B,161,637,103,204,48,2,25,85,30,63,5,7,0.32,0.352,0.52,0.871
54," Bartlett, J",TB,SS,137,500,90,160,29,7,14,66,54,89,30,7,0.32,0.389,0.49,0.879
55," Braun, R",MIL,LF,158,635,113,203,39,6,32,114,57,121,20,6,0.32,0.386,0.551,0.937
56," Ramirez, A",CHC,3B,82,306,46,97,14,1,15,65,28,43,2,1,0.317,0.389,0.516,0.905
57," Carp, M",ARI,1B,21,54,7,17,3,1,1,5,8,10,0,0,0.315,0.415,0.463,0.878
58," Tejada, M",HOU,SS,158,635,83,199,46,1,14,86,19,48,5,2,0.313,0.34,0.455,0.795
59," Holliday, M",STL,LF,156,581,94,182,39,3,24,109,72,101,14,7,0.313,0.394,0.515,0.909
60," Ruiz, R",TOR,1B,33,115,25,36,7,0,10,17,10,35,1,1,0.313,0.385,0.635,1.019
61," Diaz, M",ATL,LF,125,371,56,116,18,4,13,58,35,90,12,5,0.313,0.39,0.488,0.878
62," Brantley, M",CLE,LF,28,112,10,35,4,0,0,11,8,19,4,4,0.313,0.358,0.348,0.707
63," Borbon, J",TEX,CF,46,157,30,49,4,0,4,20,15,28,19,4,0.312,0.376,0.414,0.79
64," Aybar, E",LAA,SS,137,504,70,157,23,9,5,58,30,54,14,7,0.312,0.353,0.423,0.776
65," Span, D",MIN,CF,145,578,97,180,16,10,8,68,70,89,23,10,0.311,0.392,0.415,0.807
66," Phillips, P",COL,C,17,45,5,14,2,0,1,9,7,3,0,0,0.311,0.396,0.422,0.818
67," Morales, J",MIN,C,54,119,14,37,6,0,0,7,14,22,0,0,0.311,0.381,0.361,0.742
68," Ordonez, M",DET,RF,131,465,54,144,24,2,9,50,51,65,3,1,0.31,0.376,0.428,0.804
69," Lopez, F",MIL,2B,151,604,88,187,38,3,9,57,71,100,6,6,0.31,0.383,0.427,0.81
70," Pierre, J",LAD,LF,145,380,57,117,16,8,0,31,27,27,30,12,0.308,0.365,0.392,0.757
71," Cabrera, A",CLE,SS,131,523,81,161,42,4,6,68,44,89,17,4,0.308,0.361,0.438,0.799
72," Jones, B",ATL,LF,5,13,2,4,0,0,0,1,4,3,0,0,0.308,0.471,0.308,0.778
72," Jones, M",LAD,RF,8,13,1,4,1,0,0,0,0,6,0,0,0.308,0.4,0.385,0.785
74," Morgan, N",WSH,CF,120,469,74,144,15,7,3,39,40,74,42,17,0.307,0.369,0.388,0.757
75," Prado, M",ATL,2B,128,450,64,138,38,0,11,49,36,59,1,3,0.307,0.358,0.464,0.822
76," Wright, D",NYM,3B,144,535,88,164,39,3,10,72,74,140,27,9,0.307,0.39,0.447,0.837
77," Lee, D",CHC,1B,141,532,91,163,36,2,35,111,76,109,1,0,0.306,0.393,0.579,0.972
78," Pagan, A",NYM,CF,88,343,54,105,22,11,6,32,25,56,14,7,0.306,0.35,0.487,0.837
79," Morales, K",LAA,1B,152,566,86,173,43,2,34,108,46,117,3,7,0.306,0.355,0.569,0.924
80," Youkilis, K",BOS,1B,136,491,99,150,36,1,27,94,77,125,7,2,0.305,0.413,0.548,0.961
81," Infante, O",ATL,3B,70,203,24,62,9,1,2,27,19,28,2,0,0.305,0.361,0.389,0.75
82," Crawford, C",TB,LF,156,606,96,185,28,8,15,68,51,99,60,16,0.305,0.364,0.452,0.816
83," Rolen, S",CIN,3B,128,475,76,145,36,1,11,67,45,62,5,4,0.305,0.368,0.455,0.823
84," Davis, R",OAK,CF,125,390,65,119,27,5,3,48,29,70,41,12,0.305,0.36,0.423,0.784
85," Lind, A",TOR,1B,151,587,93,179,46,0,35,114,58,110,1,1,0.305,0.37,0.562,0.932
86," German, E",TEX,2B,19,46,9,14,4,0,0,4,4,7,1,0,0.304,0.36,0.391,0.751
87," Escobar, A",MIL,SS,38,125,20,38,3,1,1,11,4,18,4,2,0.304,0.333,0.368,0.701
88," Podsednik, S",CWS,LF,132,537,75,163,25,6,7,48,39,74,30,13,0.304,0.353,0.412,0.764
89," Martinez, V",BOS,C,155,588,88,178,33,1,23,108,75,74,1,0,0.303,0.381,0.48,0.861
90," Schumaker, S",STL,2B,153,532,85,161,34,1,4,35,52,69,2,2,0.303,0.364,0.393,0.757
91," Castillo, L",NYM,2B,142,486,77,147,12,3,1,40,69,58,20,6,0.302,0.387,0.346,0.732
92," Salazar, O",SD,LF,72,139,16,42,8,2,5,25,14,20,0,0,0.302,0.364,0.496,0.86
93," McGehee, C",MIL,3B,116,355,58,107,20,1,16,66,34,67,0,2,0.301,0.36,0.499,0.859
94," Ellsbury, J",BOS,CF,153,624,94,188,27,10,8,60,49,74,70,12,0.301,0.355,0.415,0.77
95," Flores, J",WSH,C,29,93,13,28,3,2,4,15,11,26,0,0,0.301,0.371,0.505,0.877
96," Butler, B",KC,DH,159,608,78,183,51,1,21,93,58,103,1,0,0.301,0.362,0.492,0.853
97," Upton, J",ARI,RF,138,526,84,158,30,7,26,86,55,137,20,5,0.3,0.366,0.532,0.899
98," Callaspo, A",KC,3B,155,576,79,173,41,8,11,73,52,51,2,1,0.3,0.356,0.457,0.813
99," Choo, S",CLE,RF,156,583,87,175,38,6,20,86,78,151,21,2,0.3,0.394,0.489,0.883
100," Dillon, J",TB,2B,15,30,4,9,0,0,1,2,3,4,0,0,0.3,0.4,0.4,0.8
100," Lee, C",HOU,1B,160,610,65,183,35,1,26,102,41,51,5,3,0.3,0.343,0.489,0.831
102," Izturis, M",LAA,2B,114,387,74,116,22,3,8,65,35,41,13,5,0.3,0.359,0.434,0.794
103," Kubel, J",MIN,RF,146,514,73,154,35,2,28,103,56,106,1,1,0.3,0.369,0.539,0.907
104," Pierzynski, A",CWS,C,138,504,57,151,22,1,13,49,24,52,1,1,0.3,0.331,0.425,0.755
105," Fielder, P",MIL,1B,162,591,103,177,35,3,46,141,110,138,2,3,0.299,0.412,0.602,1.014
106," Hunter, T",LAA,CF,119,451,74,135,26,1,22,90,47,92,18,4,0.299,0.366,0.508,0.873
107," Escobar, Y",ATL,SS,141,528,89,158,26,2,14,76,57,62,5,4,0.299,0.377,0.436,0.812
108," Fuld, S",CHC,LF,65,97,17,29,6,1,1,2,17,10,2,1,0.299,0.409,0.412,0.821
109," Cervelli, F",NYY,C,42,94,13,28,4,0,1,11,2,11,0,3,0.298,0.309,0.372,0.682
109," Delgado, C",NYM,1B,26,94,15,28,7,1,4,23,12,20,0,0,0.298,0.393,0.521,0.914
111," Figgins, C",LAA,3B,158,615,114,183,30,7,5,54,101,114,42,17,0.298,0.395,0.393,0.789
112," Zobrist, B",TB,2B,152,501,91,149,28,7,27,91,91,104,17,6,0.297,0.405,0.543,0.948
113," Kemp, M",LAD,CF,159,606,97,180,25,7,26,101,52,139,34,8,0.297,0.352,0.49,0.842
114," Tulowitzki, T",COL,SS,151,543,101,161,25,9,32,92,73,112,20,11,0.297,0.377,0.552,0.93
115," Pedroia, D",BOS,2B,154,626,115,185,48,1,15,72,74,45,20,8,0.296,0.371,0.447,0.819
116," Guerrero, V",LAA,DH,100,383,59,113,16,1,15,50,19,56,2,1,0.295,0.334,0.46,0.794
117," Ausmus, B",LAD,C,36,95,9,28,4,0,1,9,5,21,1,0,0.295,0.343,0.368,0.712
118," Montero, M",ARI,C,128,425,61,125,30,0,16,59,38,78,1,2,0.294,0.355,0.478,0.832
119," Sweeney, R",OAK,RF,134,484,68,142,31,3,6,53,40,67,6,5,0.293,0.348,0.407,0.755
120," Sanchez, F",SF,2B,111,457,56,134,29,3,7,41,22,76,5,1,0.293,0.326,0.416,0.742
121," Molina, Y",STL,C,140,481,45,141,23,1,6,54,50,39,9,3,0.293,0.366,0.383,0.749
122," Abreu, B",LAA,RF,152,563,96,165,29,3,15,103,94,113,30,8,0.293,0.39,0.435,0.825
123," Jones, G",PIT,1B,82,314,45,92,21,1,21,44,40,76,10,2,0.293,0.372,0.567,0.938
124," Markakis, N",BAL,RF,161,642,94,188,45,2,18,101,56,98,6,2,0.293,0.347,0.453,0.801
125," Smith, S",COL,LF,133,335,61,98,20,4,15,55,46,67,4,1,0.293,0.378,0.51,0.889
126," Ryan, B",STL,SS,129,390,55,114,19,7,3,37,24,56,14,7,0.292,0.34,0.4,0.74
127," Teixeira, M",NYY,1B,156,609,103,178,43,3,39,122,81,114,2,0,0.292,0.383,0.565,0.948
128," Victorino, S",PHI,CF,156,620,102,181,39,13,10,62,60,71,25,8,0.292,0.358,0.445,0.803
129," Zimmerman, R",WSH,3B,157,610,110,178,37,3,33,106,72,119,2,0,0.292,0.364,0.525,0.888
130," Kendrick, H",LAA,2B,105,374,61,109,21,3,10,61,20,71,11,4,0.291,0.334,0.444,0.778
131," Raburn, R",DET,LF,113,261,44,76,11,2,16,45,26,60,5,4,0.291,0.359,0.533,0.891
132," Torrealba, Y",COL,C,64,213,27,62,11,1,2,31,21,42,1,1,0.291,0.351,0.38,0.732
133," Johnson, N",FLA,1B,133,457,71,133,24,2,8,62,99,84,2,4,0.291,0.426,0.405,0.831
