RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
1," Augenstein, B",STL,P,5,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Burnett, S",WSH,P,66,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2
1," Horst, J",CIN,P,12,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2
1," Lyon, B",HOU,P,15,1,0,1,1,0,0,1,0,0,0,0,1,1,2,3
1," Tomlin, J",CLE,P,2,2,1,2,0,0,0,1,0,0,0,0,1,1,1,2
6," Chatwood, T",LAA,P,2,3,1,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
6," Dickson, B",STL,P,3,3,2,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333
6," Jakubauskas, C",BAL,P,2,3,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
9," Britton, Z",BAL,P,3,8,3,5,1,0,1,2,0,1,0,0,0.625,0.625,1.125,1.75
10," Arredondo, J",CIN,P,50,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Belisle, M",COL,P,71,2,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,1.5
10," Buehrle, M",CWS,P,1,2,0,1,1,0,0,0,0,1,0,0,0.5,0.5,1,1.5
10," Davis, W",TB,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Liriano, F",MIN,P,2,2,0,1,0,0,0,1,1,0,0,0,0.5,0.667,0.5,1.167
10," Ogando, A",TEX,P,1,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Parker, J",ARI,P,1,2,0,1,1,0,0,0,0,1,0,0,0.5,0.5,1,1.5
10," Richardson, A",ATL,CF,9,4,2,2,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1
10," Rodriguez, F",MIL,P,70,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Santana, E",LAA,P,1,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Stammen, C",WSH,P,7,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," Stults, E",COL,P,6,2,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,1.5
10," Velazquez, G",LAA,2B,4,6,0,3,0,0,0,1,0,0,0,0,0.5,0.429,0.5,0.929
23," German, E",TEX,2B,11,11,6,5,1,0,1,4,1,1,1,0,0.455,0.462,0.818,1.28
24," Baker, S",MIN,P,2,5,0,2,1,0,0,0,0,1,0,0,0.4,0.4,0.6,1
25," Willis, D",CIN,P,16,31,2,12,3,1,1,4,0,4,0,0,0.387,0.387,0.645,1.032
26," Chambers, A",STL,CF,18,8,2,3,0,1,0,4,0,1,0,0,0.375,0.375,0.625,1
26," Martin, L",TEX,CF,8,8,2,3,1,0,0,0,0,1,0,0,0.375,0.375,0.5,0.875
28," LeBlanc, W",SD,P,13,22,3,8,0,0,0,1,1,4,0,0,0.364,0.391,0.364,0.755
29," Parmelee, C",MIN,1B,21,76,8,27,6,0,4,14,12,13,0,0,0.355,0.443,0.592,1.035
30," Cabrera, M",DET,1B,161,572,111,197,48,0,30,105,108,89,2,1,0.344,0.448,0.586,1.033
31," Gonzalez, A",BOS,1B,159,630,108,213,45,3,27,117,74,119,1,0,0.338,0.41,0.548,0.957
32," Young, M",TEX,1B,159,631,88,213,41,6,11,106,47,78,6,2,0.338,0.38,0.474,0.854
33," Reyes, J",NYM,SS,126,537,101,181,31,16,7,44,43,41,39,7,0.337,0.384,0.493,0.877
34," Boscan, J",ATL,C,4,9,0,3,0,0,0,0,0,5,0,0,0.333,0.333,0.333,0.667
34," Canzler, R",TB,3B,3,3,0,1,0,0,0,1,1,1,0,0,0.333,0.4,0.333,0.733
34," Fister, D",DET,P,2,6,1,2,1,0,0,1,0,1,0,0,0.333,0.333,0.5,0.833
34," Gillespie, C",ARI,LF,5,6,2,2,0,0,1,4,1,1,0,0,0.333,0.429,0.833,1.262
34," Gomez, H",COL,SS,2,6,1,2,0,0,0,0,1,2,0,0,0.333,0.429,0.333,0.762
34," Haren, D",LAA,P,2,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667
34," Iglesias, J",BOS,SS,10,6,3,2,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667
34," Kratz, E",PHI,C,2,6,0,2,1,0,0,0,0,1,0,0,0.333,0.333,0.5,0.833
34," Lackey, J",BOS,P,1,3,0,1,1,0,0,1,0,1,0,0,0.333,0.333,0.667,1
34," Martinez, C",ATL,P,45,6,0,2,1,0,0,2,0,1,0,0,0.333,0.333,0.5,0.833
34," Niemann, J",TB,P,2,3,0,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667
34," Rivera, M",MIL,C,1,6,0,2,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
34," Schafer, L",MIL,CF,8,3,1,1,0,0,0,0,1,1,0,0,0.333,0.5,0.333,0.833
34," Young, C",NYM,P,4,9,1,3,0,0,0,2,0,4,0,0,0.333,0.333,0.333,0.667
48," Braun, R",MIL,LF,150,563,109,187,38,6,33,111,58,93,33,6,0.332,0.397,0.597,0.994
49," Perez, S",KC,C,39,148,20,49,8,2,3,21,7,20,0,0,0.331,0.361,0.473,0.834
50," Martinez, V",DET,C,145,540,76,178,40,0,12,103,46,51,1,0,0.33,0.38,0.47,0.85
51," Alonso, Y",CIN,LF,47,88,9,29,4,0,5,15,10,21,0,0,0.33,0.398,0.545,0.943
52," De Aza, A",CWS,CF,54,152,29,50,11,3,4,23,17,34,12,5,0.329,0.4,0.52,0.92
53," Montero, J",NYY,C,18,61,9,20,4,0,4,12,7,17,0,0,0.328,0.406,0.59,0.996
54," Jaramillo, J",PIT,C,23,43,1,14,3,0,0,6,2,12,1,0,0.326,0.356,0.395,0.751
55," Cozart, Z",CIN,SS,11,37,6,12,0,0,2,3,0,6,0,0,0.324,0.324,0.486,0.811
56," Kemp, M",LAD,CF,161,602,115,195,33,4,39,126,74,159,40,11,0.324,0.399,0.586,0.986
57," Ellsbury, J",BOS,CF,158,660,119,212,46,5,32,105,52,98,39,15,0.321,0.376,0.552,0.928
58," Napoli, M",TEX,C,113,369,72,118,25,0,30,75,58,85,4,2,0.32,0.414,0.631,1.046
59," Murphy, D",NYM,2B,109,391,49,125,28,2,6,49,24,42,5,5,0.32,0.362,0.448,0.809
60," Donald, J",CLE,SS,39,132,13,42,6,1,1,8,7,35,3,2,0.318,0.364,0.402,0.765
60," Zambrano, C",CHC,P,22,44,8,14,2,0,2,5,2,14,0,0,0.318,0.348,0.5,0.848
62," Craig, A",STL,LF,75,200,33,63,15,0,11,40,15,40,5,0,0.315,0.362,0.555,0.917
63," Sutton, D",BOS,3B,31,54,11,17,7,0,0,7,3,13,0,0,0.315,0.362,0.444,0.807
64," Sandoval, P",SF,3B,117,426,55,134,26,3,23,70,32,63,2,4,0.315,0.357,0.552,0.909
65," Pence, H",PHI,RF,154,606,84,190,38,5,22,97,56,124,8,2,0.314,0.37,0.502,0.871
66," Guzman, J",SD,LF,76,247,33,77,22,2,5,44,22,43,9,2,0.312,0.369,0.478,0.847
67," Johnson, R",CHC,LF,111,246,33,76,22,1,5,28,5,63,2,1,0.309,0.348,0.467,0.816
68," Votto, J",CIN,1B,161,599,101,185,40,3,29,103,110,129,8,6,0.309,0.416,0.531,0.947
69," Ortiz, D",BOS,DH,146,525,84,162,40,1,29,96,78,83,1,1,0.309,0.398,0.554,0.953
70," Castro, S",CHC,SS,158,674,91,207,36,9,10,66,35,96,22,9,0.307,0.341,0.432,0.773
71," Pedroia, D",BOS,2B,159,635,102,195,37,3,21,91,86,85,26,8,0.307,0.387,0.474,0.861
72," Ramirez, A",CHC,3B,149,565,80,173,35,1,26,93,43,69,1,1,0.306,0.361,0.51,0.871
73," Kotchman, C",TB,1B,146,500,44,153,24,2,10,48,48,66,2,2,0.306,0.378,0.422,0.8
74," Cabrera, M",KC,CF,155,658,102,201,44,5,18,87,35,94,20,10,0.305,0.339,0.47,0.809
75," Molina, Y",STL,C,139,475,55,145,32,1,14,65,33,44,4,5,0.305,0.349,0.465,0.814
76," Morgan, N",MIL,CF,119,378,61,115,20,6,4,37,19,70,13,4,0.304,0.357,0.421,0.778
77," Gordon, D",LAD,SS,56,224,34,68,9,2,0,11,7,27,24,7,0.304,0.325,0.362,0.686
78," Ciriaco, P",PIT,3B,23,33,4,10,2,1,0,6,1,6,2,1,0.303,0.324,0.424,0.748
79," Weeks, J",OAK,2B,97,406,50,123,26,8,2,36,21,62,22,11,0.303,0.34,0.421,0.761
