Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
" Gilmartin, S",NYM,P,2,1,1,1,1,0,0,1,0,0,0,0,1,1,2,3
" Iglesias, R",CIN,P,15,1,0,1,1,0,0,0,0,0,0,0,1,1,2,3
" Ortiz, D",PIT,OF,3,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2
" Sogard, E",MIL,2B,6,17,5,10,3,0,2,7,4,0,1,1,0.588,0.682,1.118,1.799
" Pena, F",BAL,C,3,7,3,4,0,0,2,2,0,1,0,0,0.571,0.571,1.429,2
" Boyd, M",DET,P,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
" Gallardo, Y",SEA,P,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
" Gonzalez, E",CLE,SS,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
" Jansen, K",LAD,P,16,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
" Kluber, C",CLE,P,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
" Lyles, J",COL,P,11,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
" Martinez, J",DET,RF,6,16,7,8,0,0,5,11,9,2,0,0,0.5,0.68,1.438,2.118
" Morgan, A",PHI,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
" Stroman, M",TOR,P,2,4,2,2,1,0,1,1,0,1,0,0,0.5,0.5,1.5,2
" Winker, J",CIN,LF,2,2,0,1,1,0,0,2,0,1,0,0,0.5,0.5,1,1.5
" Hoying, J",TEX,OF,3,11,4,5,1,0,1,2,0,1,0,0,0.455,0.455,0.818,1.273
" D'Arnaud, C",BOS,LF,13,9,7,4,0,0,0,0,2,3,0,0,0.444,0.545,0.444,0.99
" Hicks, J",DET,C,7,26,6,11,3,0,1,7,1,3,0,0,0.423,0.444,0.654,1.098
" Ceciliani, D",TOR,LF,3,5,2,2,1,0,1,3,0,0,0,0,0.4,0.4,1.2,1.6
" Turner, J",LAD,3B,39,140,18,53,13,0,1,17,13,20,2,0,0.379,0.453,0.493,0.946
" Posey, B",SF,C,33,119,19,45,4,0,7,11,13,12,0,0,0.378,0.452,0.588,1.04
" Avila, A",DET,C,23,61,9,23,6,0,4,15,12,19,0,0,0.377,0.479,0.672,1.152
" Zimmerman, R",WSH,1B,39,141,28,53,16,0,13,38,10,29,1,0,0.376,0.418,0.766,1.184
" Sierra, M",STL,CF,7,30,8,11,0,0,0,2,2,7,1,2,0.367,0.406,0.367,0.773
" Harper, B",WSH,RF,37,137,42,50,10,0,13,36,30,30,0,2,0.365,0.479,0.723,1.202
" Martinez, M",TB,2B,14,11,1,4,1,0,0,0,2,5,0,1,0.364,0.462,0.455,0.916
" Segura, J",SEA,SS,30,131,26,47,8,0,4,19,8,23,5,4,0.359,0.404,0.511,0.916
" Ray, R",ARI,P,8,14,2,5,0,0,0,0,0,7,0,0,0.357,0.357,0.357,0.714
" Happ, I",CHC,2B,5,17,5,6,2,0,2,4,5,5,0,0,0.353,0.5,0.824,1.324
" Cozart, Z",CIN,SS,34,125,24,44,11,4,4,18,20,25,2,0,0.352,0.435,0.6,1.035
" Garcia, A",CWS,RF,38,145,23,51,7,3,6,28,7,29,0,2,0.352,0.397,0.566,0.963
" Castillo, W",BAL,C,19,80,10,28,6,0,1,9,3,18,0,0,0.35,0.373,0.463,0.836
" Castro, S",NYY,2B,38,158,30,55,10,0,7,26,9,29,0,0,0.348,0.383,0.544,0.928
" Frazier, A",PIT,2B,21,75,9,26,4,1,1,10,5,10,0,3,0.347,0.395,0.467,0.862
" Flowers, T",ATL,C,29,79,7,27,3,0,1,13,11,19,0,0,0.342,0.464,0.418,0.882
" Haniger, M",SEA,RF,21,79,20,27,7,1,4,16,13,20,2,1,0.342,0.447,0.608,1.054
" Lind, A",WSH,1B,25,44,9,15,4,0,3,14,5,6,0,0,0.341,0.4,0.636,1.036
" Trout, M",LAA,CF,37,132,28,45,10,2,13,30,24,30,8,1,0.341,0.451,0.742,1.193
" Freeman, F",ATL,1B,37,135,35,46,11,1,14,25,27,31,4,3,0.341,0.461,0.748,1.209
" Rojas, M",MIA,3B,24,65,12,22,4,0,0,4,6,8,2,0,0.338,0.389,0.4,0.789
" Kemp, M",ATL,LF,28,119,19,40,12,0,6,23,7,30,0,1,0.336,0.373,0.588,0.961
" Dickerson, C",TB,DH,40,158,25,53,12,2,9,18,11,35,0,2,0.335,0.382,0.608,0.99
" Adams, L",ATL,CF,9,9,1,3,0,0,0,1,0,3,2,0,0.333,0.333,0.333,0.667
" Bonilla, L",CIN,P,2,3,0,1,0,0,0,0,1,1,0,0,0.333,0.5,0.333,0.833
" DeGrom, J",NYM,P,9,18,2,6,1,0,0,2,0,6,0,0,0.333,0.333,0.389,0.722
" Jimenez, U",BAL,P,1,3,0,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667
" Kendrick, H",PHI,LF,10,39,5,13,4,1,0,5,4,9,1,1,0.333,0.395,0.487,0.883
" Pineda, M",NYY,P,2,3,0,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667
" Ryu, H",LAD,P,7,9,1,3,1,0,0,0,2,3,0,0,0.333,0.5,0.444,0.944
" Stephenson, R",CIN,P,11,3,0,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667
" Bogaerts, X",BOS,SS,36,139,20,46,8,4,0,12,12,20,6,0,0.331,0.392,0.446,0.838
" Gyorko, J",STL,3B,33,118,16,39,8,1,7,18,9,28,2,0,0.331,0.383,0.593,0.976
" Wolters, T",COL,C,20,58,14,19,4,1,0,4,5,12,0,0,0.328,0.391,0.431,0.822
" Altherr, A",PHI,RF,31,95,23,31,8,0,8,22,13,26,3,1,0.326,0.423,0.663,1.087
" Sanchez, Y",CWS,2B,27,89,10,29,5,1,2,11,4,21,2,3,0.326,0.351,0.472,0.823
" Judge, A",NYY,RF,36,129,32,42,4,2,14,29,22,43,3,1,0.326,0.428,0.713,1.141
" Pham, T",STL,CF,11,43,8,14,4,0,3,10,5,15,3,2,0.326,0.412,0.628,1.04
" Taylor, C",LAD,2B,26,74,15,24,4,0,4,15,15,23,0,2,0.324,0.438,0.541,0.979
" Rivera, R",NYM,C,22,71,5,23,2,0,2,13,3,16,0,1,0.324,0.347,0.437,0.783
" Murphy, D",WSH,2B,38,153,26,49,11,1,7,31,15,18,0,0,0.32,0.385,0.542,0.927
" Gregorius, D",NYY,SS,18,75,9,24,4,0,1,13,5,12,1,0,0.32,0.358,0.413,0.771
" Reynolds, M",COL,1B,40,141,26,45,5,0,12,35,19,36,1,1,0.319,0.398,0.61,1.007
" Adduci, J",DET,RF,13,44,8,14,4,2,0,7,5,11,1,0,0.318,0.388,0.5,0.888
" La Stella, T",CHC,3B,15,22,3,7,2,0,1,2,7,2,0,0,0.318,0.483,0.545,1.028
" Cruz, N",SEA,DH,41,145,18,46,8,0,10,36,22,33,1,0,0.317,0.401,0.579,0.98
" Owings, C",ARI,SS,39,145,16,46,7,1,5,24,8,36,9,2,0.317,0.353,0.483,0.836
" Blackmon, C",COL,CF,41,168,27,53,9,6,9,31,9,35,2,2,0.315,0.356,0.601,0.957
" Markakis, N",ATL,RF,38,146,21,46,8,1,1,21,16,35,0,1,0.315,0.392,0.404,0.796
" Montero, M",CHC,C,22,54,9,17,1,0,3,7,4,15,1,0,0.315,0.356,0.5,0.856
" Alcantara, A",CIN,2B,24,35,6,11,2,1,0,2,1,11,1,0,0.314,0.333,0.429,0.762
" Martinez, J",STL,1B,20,48,8,15,4,0,1,4,3,9,1,0,0.313,0.353,0.458,0.811
" Thames, E",MIL,1B,37,128,37,40,9,0,13,25,24,35,1,1,0.313,0.432,0.688,1.12
" Vazquez, C",BOS,C,20,64,4,20,5,1,0,5,2,13,1,0,0.313,0.348,0.422,0.77
" Altuve, J",HOU,2B,40,151,26,47,8,2,6,19,16,28,9,2,0.311,0.386,0.51,0.896
" Hicks, A",NYY,LF,30,90,23,28,4,0,7,19,22,19,6,2,0.311,0.447,0.589,1.036
" Conforto, M",NYM,LF,36,116,26,36,6,1,10,26,16,33,1,0,0.31,0.393,0.638,1.031
" Donaldson, J",TOR,3B,9,29,5,9,2,0,2,4,6,12,0,0,0.31,0.429,0.586,1.015
" Gutierrez, F",LAD,LF,16,29,6,9,3,0,1,3,3,8,0,1,0.31,0.375,0.517,0.892
" Smith, S",BAL,RF,26,84,16,26,6,0,4,10,10,19,1,0,0.31,0.392,0.524,0.916
" Goldschmidt, P",ARI,1B,42,149,33,46,10,0,10,32,33,35,10,2,0.309,0.443,0.577,1.02
" Gamel, B",SEA,RF,21,81,15,25,6,1,2,13,14,27,0,0,0.309,0.411,0.481,0.892
" Amarista, A",COL,LF,20,39,7,12,4,0,1,6,1,9,0,0,0.308,0.325,0.487,0.812
" Hazelbaker, J",ARI,CF,21,26,4,8,1,1,1,5,3,8,0,0,0.308,0.379,0.538,0.918
" Kelly, T",PHI,3B,11,13,0,4,3,0,0,2,0,4,0,0,0.308,0.286,0.538,0.824
" Werth, J",WSH,LF,33,117,22,36,4,0,6,12,19,34,3,2,0.308,0.409,0.496,0.904
" Drury, B",ARI,2B,37,134,15,41,12,1,3,14,7,30,1,1,0.306,0.345,0.478,0.823
" Realmuto, J",MIA,C,35,134,14,41,5,2,3,16,6,24,0,1,0.306,0.345,0.44,0.785
" Pillar, K",TOR,CF,41,167,27,51,12,1,6,12,13,25,6,4,0.305,0.357,0.497,0.854
" Heredia, G",SEA,LF,29,105,14,32,3,0,2,7,8,13,1,2,0.305,0.371,0.39,0.761
" Nava, D",PHI,LF,28,56,10,17,2,0,2,8,12,10,1,0,0.304,0.429,0.446,0.875
" Butera, D",KC,C,15,33,6,10,1,0,2,5,0,7,0,0,0.303,0.303,0.515,0.818
" Rutledge, J",BOS,3B,12,33,4,10,0,0,0,3,4,8,0,0,0.303,0.395,0.303,0.698
" Ozuna, M",MIA,LF,40,149,20,45,6,0,11,29,19,38,0,0,0.302,0.379,0.564,0.942
" Adrianza, E",MIN,SS,4,10,2,3,1,0,0,3,1,1,0,0,0.3,0.333,0.4,0.733
" Eibner, B",LAD,CF,5,10,2,3,0,0,1,2,1,4,0,0,0.3,0.364,0.6,0.964
" Pina, M",MIL,C,24,80,13,24,8,0,2,12,4,10,0,0,0.3,0.341,0.475,0.816
" Williamson, M",SF,RF,3,10,1,3,0,0,0,1,0,4,0,0,0.3,0.3,0.3,0.6
" Arenado, N",COL,3B,41,157,29,47,13,1,10,28,12,29,1,0,0.299,0.354,0.586,0.94
" Hernandez, C",PHI,2B,38,157,30,47,5,2,4,10,16,36,6,2,0.299,0.368,0.433,0.801
" Pollock, A",ARI,CF,37,154,26,46,12,3,2,11,9,29,11,2,0.299,0.337,0.455,0.792
" Desmond, I",COL,1B,17,67,10,20,2,0,2,9,1,21,2,1,0.299,0.324,0.418,0.742
" Garcia, L",CWS,CF,35,114,17,34,7,0,4,14,5,16,4,2,0.298,0.347,0.465,0.812
" Adams, M",STL,LF,30,47,4,14,2,0,1,7,4,17,0,0,0.298,0.346,0.404,0.75
" Bryant, K",CHC,3B,37,148,26,44,12,1,8,20,26,36,4,2,0.297,0.403,0.554,0.957
" Carrera, E",TOR,LF,37,111,12,33,2,1,3,12,7,22,2,1,0.297,0.339,0.414,0.753
" Eaton, A",WSH,CF,23,91,24,27,7,1,2,13,14,18,3,1,0.297,0.393,0.462,0.854
" Cano, R",SEA,2B,34,135,21,40,8,0,8,28,15,17,0,0,0.296,0.362,0.533,0.895
" Forsythe, L",LAD,2B,14,44,7,13,2,0,0,3,6,16,0,0,0.295,0.407,0.341,0.748
" Torreyes, R",NYY,SS,30,88,7,26,3,1,1,14,1,11,0,0,0.295,0.303,0.386,0.69
" Correa, C",HOU,SS,37,143,27,42,10,0,5,23,18,33,0,0,0.294,0.376,0.469,0.844
" Peralta, D",ARI,RF,34,126,19,37,9,1,3,9,9,26,4,1,0.294,0.343,0.452,0.795
" Betts, M",BOS,RF,37,150,23,44,13,0,7,27,16,12,6,0,0.293,0.365,0.52,0.885
" Bellinger, C",LAD,LF,22,82,18,24,5,1,7,21,10,25,1,0,0.293,0.37,0.634,1.004
" Sano, M",MIN,3B,36,123,27,36,7,2,10,30,28,51,0,0,0.293,0.424,0.626,1.05
" Myers, W",SD,1B,43,171,24,50,10,2,11,27,10,47,4,2,0.292,0.332,0.567,0.899
" Jay, J",CHC,CF,34,72,13,21,3,1,0,5,10,17,1,0,0.292,0.4,0.361,0.761
" Votto, J",CIN,1B,40,144,29,42,10,0,11,35,29,20,1,1,0.292,0.41,0.59,1
" Sanchez, G",NYY,C,16,62,8,18,1,0,3,10,8,15,0,1,0.29,0.389,0.452,0.841
" Cain, L",KC,CF,38,138,15,40,8,1,1,9,20,26,11,0,0.29,0.385,0.384,0.769
" Prado, M",MIA,3B,17,69,8,20,2,0,2,6,3,11,0,0,0.29,0.315,0.406,0.721
" Shaw, T",MIL,3B,37,145,20,42,11,1,8,32,8,29,3,0,0.29,0.329,0.545,0.874
" Suarez, E",CIN,3B,39,145,23,42,9,1,7,24,15,36,2,1,0.29,0.364,0.51,0.875
" Hosmer, E",KC,1B,40,152,15,44,6,1,3,15,16,24,3,0,0.289,0.355,0.401,0.756
" Braun, R",MIL,LF,27,94,19,27,6,0,7,18,13,24,4,1,0.287,0.374,0.574,0.948
" Mancini, T",BAL,DH,28,94,9,27,4,0,7,22,4,31,1,0,0.287,0.31,0.553,0.863
" Brantley, M",CLE,LF,32,122,17,35,6,0,5,18,11,23,3,1,0.287,0.351,0.459,0.81
" Seager, C",LAD,SS,41,150,27,43,10,0,6,21,23,33,2,0,0.287,0.383,0.473,0.856
" Bumgarner, M",SF,P,3,7,2,2,0,0,2,2,1,1,0,0,0.286,0.375,1.143,1.518
" Grandal, Y",LAD,C,36,119,12,34,10,0,4,20,13,28,0,0,0.286,0.353,0.471,0.824
" Harrison, J",PIT,2B,39,140,17,40,6,1,6,14,7,25,2,3,0.286,0.35,0.471,0.822
" Reddick, J",HOU,RF,39,133,22,38,6,1,5,18,11,20,1,1,0.286,0.333,0.459,0.792
" Sucre, J",TB,C,15,42,5,12,1,0,2,12,3,8,1,0,0.286,0.326,0.452,0.778
" Wieters, M",WSH,C,31,112,12,32,6,0,4,16,13,23,1,0,0.286,0.365,0.446,0.812
" Zimmer, B",CLE,CF,2,7,2,2,1,0,1,2,0,4,0,0,0.286,0.286,0.857,1.143
" Andrus, E",TEX,SS,41,162,21,46,9,1,5,19,11,28,7,4,0.284,0.329,0.444,0.774
" Gennett, S",CIN,2B,33,74,10,21,4,2,3,17,3,16,0,0,0.284,0.312,0.514,0.825
" Lamb, J",ARI,3B,38,145,25,41,6,1,9,29,21,47,3,1,0.283,0.375,0.524,0.899
" Gardner, B",NYY,LF,35,131,28,37,7,1,7,16,18,32,5,0,0.282,0.371,0.511,0.882
" Phillips, B",ATL,2B,34,124,16,35,8,0,2,12,5,17,5,1,0.282,0.326,0.395,0.721
" Pinder, C",OAK,2B,18,39,6,11,3,0,3,7,4,12,1,0,0.282,0.349,0.59,0.939
" Aguilar, J",MIL,1B,39,71,8,20,6,2,3,12,4,23,0,0,0.282,0.32,0.549,0.869
" Flores, W",NYM,3B,25,71,7,20,3,0,3,9,2,8,1,0,0.282,0.301,0.451,0.752
" Ramirez, J",CLE,3B,39,142,20,40,7,1,6,24,18,24,2,3,0.282,0.358,0.472,0.83
" Schoop, J",BAL,2B,37,135,21,38,12,0,5,18,6,25,0,0,0.281,0.329,0.481,0.81
" Pedroia, D",BOS,2B,36,139,13,39,7,0,2,15,18,15,1,1,0.281,0.358,0.374,0.733
" Gurriel, Y",HOU,1B,36,132,14,37,8,0,3,14,3,18,0,1,0.28,0.314,0.409,0.723
" Smoak, J",TOR,1B,41,132,20,37,6,1,9,27,13,28,0,0,0.28,0.342,0.545,0.888
" Benintendi, A",BOS,CF,38,150,22,42,7,0,5,23,16,23,3,1,0.28,0.355,0.427,0.781
" Hanigan, R",COL,C,7,25,2,7,0,0,1,6,1,7,0,0,0.28,0.308,0.4,0.708
" Ellsbury, J",NYY,CF,33,118,17,33,4,0,4,13,13,21,8,1,0.28,0.356,0.415,0.771
" LeMahieu, D",COL,2B,42,161,17,45,6,1,1,11,16,26,2,2,0.28,0.348,0.348,0.696
" Beckham, T",TB,SS,39,147,18,41,3,2,7,23,7,51,1,0,0.279,0.314,0.469,0.783
" Maldonado, M",LAA,C,35,104,12,29,5,0,2,10,6,30,0,0,0.279,0.348,0.385,0.732
" Gonzalez, M",HOU,1B,33,90,15,25,2,0,9,24,14,22,2,0,0.278,0.383,0.6,0.983
" Lindor, F",CLE,SS,39,155,29,43,11,1,9,21,15,27,2,1,0.277,0.337,0.535,0.873
" Hechavarria, A",MIA,SS,20,65,8,18,2,1,1,6,1,9,0,0,0.277,0.288,0.385,0.672
" McCann, B",HOU,C,29,105,14,29,2,0,6,25,16,16,0,0,0.276,0.369,0.467,0.836
" Aoki, N",HOU,LF,29,87,10,24,3,0,1,6,8,13,2,1,0.276,0.333,0.345,0.678
" Gattis, E",HOU,C,26,87,13,24,5,0,3,18,9,15,0,0,0.276,0.36,0.437,0.797
" Hernandez, M",BOS,2B,21,58,7,16,3,0,0,2,1,15,0,1,0.276,0.3,0.328,0.628
" Bandy, J",MIL,C,24,80,11,22,5,0,5,12,6,19,1,0,0.275,0.333,0.525,0.858
" Knapp, A",PHI,C,15,40,3,11,4,0,1,3,7,12,0,0,0.275,0.383,0.45,0.833
" Perez, H",MIL,SS,36,124,17,34,8,3,5,18,9,21,2,1,0.274,0.321,0.508,0.829
" Rosario, E",MIN,LF,36,124,14,34,5,2,3,11,4,23,1,2,0.274,0.295,0.419,0.714
" Margot, M",SD,CF,42,168,16,46,6,3,4,13,12,34,5,5,0.274,0.319,0.417,0.735
" Lucroy, J",TEX,C,29,106,8,29,6,0,2,8,6,7,0,0,0.274,0.322,0.387,0.709
" Jones, A",BAL,CF,38,161,20,44,5,0,6,17,10,30,1,1,0.273,0.32,0.416,0.736
" Jackson, A",CLE,CF,12,33,3,9,4,0,1,2,5,8,0,0,0.273,0.368,0.485,0.853
" Mesoraco, D",CIN,C,13,33,6,9,1,0,1,1,5,6,1,0,0.273,0.385,0.394,0.779
" Smith, M",TB,LF,8,22,2,6,1,0,0,0,3,3,3,0,0.273,0.36,0.318,0.678
" Volquez, E",MIA,P,7,11,0,3,0,0,0,0,0,4,0,0,0.273,0.273,0.273,0.545
" Wong, K",STL,2B,35,121,17,33,11,2,1,14,13,20,3,1,0.273,0.36,0.421,0.781
" Yelich, C",MIA,CF,39,154,27,42,3,0,6,21,13,32,3,0,0.273,0.327,0.409,0.737
" Escobar, Y",LAA,3B,38,158,22,43,7,0,5,17,12,19,0,2,0.272,0.324,0.411,0.735
" Freese, D",PIT,3B,23,70,7,19,3,0,3,10,11,14,0,0,0.271,0.373,0.443,0.816
" Santana, D",MIL,RF,40,129,22,35,7,0,5,17,18,39,4,2,0.271,0.362,0.442,0.804
" Alonso, Y",OAK,1B,38,118,18,32,5,0,12,29,19,32,0,0,0.271,0.372,0.619,0.991
" Toles, A",LAD,LF,31,96,17,26,3,0,5,15,5,16,0,1,0.271,0.314,0.458,0.772
" Martinez, V",DET,DH,37,137,12,37,7,0,3,23,13,20,0,0,0.27,0.338,0.387,0.725
" Perez, S",KC,C,37,137,13,37,7,0,8,23,7,29,0,0,0.27,0.311,0.496,0.807
" Cespedes, Y",NYM,LF,18,63,12,17,4,0,6,10,11,14,0,1,0.27,0.373,0.619,0.992
" DeShields, D",TEX,LF,30,89,17,24,2,0,1,7,9,28,7,2,0.27,0.333,0.326,0.659
" Rendon, A",WSH,3B,38,141,18,38,7,1,5,23,23,28,2,0,0.27,0.372,0.44,0.812
" Barnhart, T",CIN,C,29,93,8,25,7,0,1,6,8,19,1,0,0.269,0.32,0.376,0.697
" Lowrie, J",OAK,2B,40,149,23,40,10,0,5,11,17,25,0,0,0.268,0.345,0.436,0.781
" Pennington, C",LAA,SS,21,41,5,11,0,0,0,6,6,12,2,0,0.268,0.354,0.268,0.622
" Rasmus, C",TB,LF,12,41,8,11,1,1,4,9,6,16,0,0,0.268,0.362,0.634,0.996
" Rivera, T",NYM,3B,26,82,13,22,7,1,1,9,6,10,1,0,0.268,0.341,0.415,0.755
