RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
60," Schierholtz, N",SF,RF,19,75,12,24,8,1,1,5,3,8,0,1,0.32,0.37,0.493,0.864
61," Teagarden, T",TEX,C,16,47,10,15,5,0,6,17,5,19,0,0,0.319,0.396,0.809,1.205
62," Kinsler, I",TEX,2B,121,518,102,165,41,4,18,71,45,67,26,2,0.319,0.375,0.517,0.892
63," Ryan, D",DET,C,15,44,6,14,2,0,2,7,5,13,0,0,0.318,0.38,0.5,0.88
64," Doumit, R",PIT,C,116,431,71,137,34,0,15,69,23,55,2,2,0.318,0.357,0.501,0.858
65," Ordonez, M",DET,RF,146,561,72,178,32,2,21,103,53,76,1,5,0.317,0.376,0.494,0.869
66," Miles, A",STL,2B,134,379,49,120,15,2,4,31,23,37,3,3,0.317,0.355,0.398,0.753
67," Guzman, C",WSH,SS,138,579,77,183,35,5,9,55,23,57,6,5,0.316,0.345,0.44,0.786
68," Lee, C",HOU,1B,115,436,61,137,27,0,28,100,37,49,4,1,0.314,0.368,0.569,0.937
69," Spilborghs, R",COL,LF,89,233,38,73,14,2,6,36,38,41,7,4,0.313,0.407,0.468,0.875
70," Murphy, D",NYM,1B,49,131,24,41,9,3,2,17,18,28,0,2,0.313,0.397,0.473,0.871
71," Berkman, L",HOU,1B,159,554,114,173,46,4,29,106,99,108,18,4,0.312,0.42,0.567,0.986
72," Youkilis, K",BOS,1B,145,538,91,168,43,4,29,115,62,108,3,5,0.312,0.39,0.569,0.958
73," Suzuki, I",SEA,RF,162,686,103,213,20,7,6,42,51,65,43,4,0.31,0.361,0.386,0.747
74," Choo, S",CLE,RF,94,317,68,98,28,3,14,66,44,78,4,3,0.309,0.397,0.549,0.946
75," Abercrombie, R",HOU,LF,34,55,10,17,5,0,2,5,1,23,5,2,0.309,0.339,0.509,0.848
76," Teixeira, M",LAA,1B,157,574,102,177,41,0,33,121,97,93,2,0,0.308,0.41,0.552,0.962
77," DeJesus, D",KC,RF,135,518,70,159,25,7,12,73,46,71,11,8,0.307,0.366,0.452,0.818
78," Polanco, P",DET,2B,141,580,90,178,34,3,8,58,35,43,7,1,0.307,0.35,0.417,0.768
78," Theriot, R",CHC,2B,149,580,85,178,19,4,1,38,73,58,22,13,0.307,0.387,0.359,0.745
80," Rivera, M",MIL,C,21,62,8,19,5,0,1,14,6,10,2,0,0.306,0.377,0.435,0.812
81," Winn, R",SF,RF,155,598,84,183,38,2,10,64,59,88,25,2,0.306,0.363,0.426,0.79
82," Giles, B",SD,RF,147,559,81,171,40,4,12,63,87,52,2,2,0.306,0.398,0.456,0.854
83," Kendrick, H",LAA,2B,92,340,43,104,26,2,3,37,12,58,11,4,0.306,0.333,0.421,0.754
83," Markakis, N",BAL,RF,157,595,106,182,48,1,20,87,99,113,10,7,0.306,0.406,0.491,0.897
85," Callaspo, A",KC,3B,74,213,21,65,8,3,0,16,19,14,2,1,0.305,0.361,0.371,0.731
86," Ethier, A",LAD,RF,141,525,90,160,38,5,20,77,59,88,6,3,0.305,0.375,0.51,0.885
87," Hudson, O",ARI,2B,107,407,54,124,29,3,8,41,40,62,4,1,0.305,0.367,0.45,0.817
88," Fontenot, M",CHC,2B,119,243,42,74,22,1,9,40,34,51,2,0,0.305,0.395,0.514,0.909
89," Nady, X",NYY,LF,148,555,76,169,37,1,25,97,39,103,2,1,0.305,0.357,0.51,0.867
90," Hamilton, J",TEX,CF,156,624,98,190,35,5,32,130,64,126,9,1,0.304,0.371,0.53,0.901
91," Huff, A",BAL,1B,154,598,96,182,48,2,32,108,53,89,4,0,0.304,0.36,0.552,0.912
92," Molina, Y",STL,C,124,444,37,135,18,0,7,56,32,29,0,2,0.304,0.349,0.392,0.74
93," Dickerson, C",CIN,LF,31,102,20,31,9,2,6,15,17,35,5,3,0.304,0.413,0.608,1.021
94," Owings, M",CIN,P,39,56,7,17,3,0,1,6,5,21,0,0,0.304,0.361,0.411,0.771
95," Johnson, R",CHC,CF,109,333,52,101,21,0,6,50,19,68,5,6,0.303,0.358,0.42,0.778
96," Guerrero, V",LAA,RF,143,541,85,164,31,3,27,91,51,77,5,3,0.303,0.365,0.521,0.886
97," Damon, J",NYY,LF,143,555,95,168,27,5,17,71,64,82,29,8,0.303,0.375,0.461,0.836
98," Ransom, C",NYY,3B,33,43,9,13,3,0,4,8,6,12,0,0,0.302,0.4,0.651,1.051
99," Rodriguez, A",NYY,3B,138,510,104,154,33,0,35,103,65,117,18,3,0.302,0.392,0.573,0.965
100," Wright, D",NYM,3B,160,626,115,189,42,2,33,124,94,118,15,5,0.302,0.39,0.534,0.924
101," Schumaker, S",STL,2B,153,540,87,163,22,5,8,46,47,60,8,2,0.302,0.359,0.406,0.765
102," Shealy, R",KC,1B,20,73,12,22,1,0,7,20,5,19,0,0,0.301,0.354,0.603,0.957
102," Snider, T",TOR,LF,24,73,9,22,6,0,2,13,5,23,0,0,0.301,0.338,0.466,0.803
104," Kapler, G",MIL,CF,96,229,36,69,17,2,8,38,13,39,3,1,0.301,0.34,0.498,0.838
105," Dobbs, G",PHI,3B,128,226,30,68,14,1,9,40,11,40,3,1,0.301,0.333,0.491,0.824
106," McCann, B",ATL,C,145,509,68,153,42,1,23,87,57,64,5,0,0.301,0.373,0.523,0.896
107," Ramirez, H",FLA,SS,153,589,125,177,34,4,33,67,92,122,35,12,0.301,0.4,0.54,0.94
108," Jeter, D",NYY,SS,150,596,88,179,25,3,11,69,52,85,11,5,0.3,0.363,0.408,0.771
109," Morneau, J",MIN,1B,163,623,97,187,47,4,23,129,76,85,0,1,0.3,0.374,0.499,0.873
110," Diaz, R",PIT,C,3,10,0,3,0,0,0,1,0,2,1,0,0.3,0.3,0.3,0.6
110," DiFelice, M",TB,C,7,20,1,6,1,0,0,4,1,1,0,0,0.3,0.364,0.35,0.714
110," Jackson, C",ARI,1B,144,540,87,162,31,6,12,75,59,61,10,2,0.3,0.376,0.446,0.823
113," Wells, V",TOR,CF,108,427,63,128,22,1,20,78,29,46,4,2,0.3,0.343,0.496,0.84
114," Baker, J",FLA,C,61,197,32,59,14,0,5,32,30,48,0,0,0.299,0.392,0.447,0.839
115," Ludwick, R",STL,RF,152,538,104,161,40,3,37,113,62,146,4,4,0.299,0.375,0.591,0.966
116," Grudzielanek, M",KC,2B,86,331,36,99,24,0,3,24,19,41,2,1,0.299,0.345,0.399,0.743
117," Byrd, M",TEX,CF,122,403,70,120,28,4,10,53,46,62,7,2,0.298,0.38,0.462,0.842
